Source,Target,Label,inter,cor,p
1846,1462,1,pp,0.843434712,0.008503234
2262,1462,-1,np,-0.874267171,0.004512386
1714,1528,-1,np,-0.934148484,0.000679106
2013,1528,-1,np,-0.886243434,0.003373343
2116,1528,1,pp,0.843434712,0.008503234
2084,1528,-1,np,-0.915729116,0.001403174
1911,1528,-1,np,-0.904761905,0.002008276
2324,1528,-1,np,-0.910195959,0.001690861
2281,111,-1,np,-0.857142857,0.006530017
2180,111,-1,np,-0.857142857,0.006530017
1899,111,-1,np,-0.880952381,0.00385032
1904,111,-1,np,-0.867532847,0.005249136
1674,111,1,pp,0.901853335,0.002192994
1822,111,1,pp,0.886243434,0.003373343
2220,111,1,pp,0.850314646,0.007471415
2108,111,-1,np,-0.857142857,0.006530017
1931,111,1,pp,0.834748647,0.009929687
2121,111,1,pp,0.920678655,0.001174651
2122,111,-1,np,-0.934148484,0.000679106
2168,111,-1,np,-0.838338383,0.009323116
2046,111,-1,np,-0.927778183,0.000891495
2003,111,-1,np,-0.850314646,0.007471415
2100,111,1,pp,0.838338383,0.009323116
1655,1201,-1,np,-0.857142857,0.006530017
2291,1201,1,pp,0.857142857,0.006530017
1899,1201,1,pp,0.904761905,0.002008276
1674,1201,-1,np,-0.840082559,0.009037111
2116,1201,-1,np,-0.867532847,0.005249136
2238,1201,-1,np,-0.850314646,0.007471415
1791,1201,1,pp,0.898219696,0.002438797
1930,1201,1,pp,0.904761905,0.002008276
2168,1201,1,pp,0.898219696,0.002438797
1785,1201,1,pp,0.857142857,0.006530017
2011,1472,-1,np,-0.874267171,0.004512386
2277,1472,1,pp,0.850314646,0.007471415
1895,1472,-1,np,-0.891630982,0.002928681
1772,1472,1,pp,0.878310066,0.004103934
1664,1472,-1,np,-0.838338383,0.009323116
1730,1472,1,pp,0.857142857,0.006530017
1809,507,-1,np,-0.970077272,6.55E-05
2232,507,-1,np,-0.838338383,0.009323116
2112,507,1,pp,0.850314646,0.007471415
1746,314,1,pp,0.898219696,0.002438797
2312,314,-1,np,-0.886243434,0.003373343
2317,314,-1,np,-0.853912564,0.006965288
2009,314,1,pp,0.850314646,0.007471415
2259,314,-1,np,-0.879581914,0.003980559
2348,314,1,pp,0.857142857,0.006530017
1711,314,1,pp,0.95810101,0.000178157
1784,314,1,pp,0.857142857,0.006530017
2216,314,1,pp,0.880952381,0.00385032
1805,314,1,pp,0.946124747,0.000375312
2008,209,1,pp,0.85548378,0.00675133
1714,209,1,pp,0.850314646,0.007471415
2013,209,1,pp,0.970077272,6.55E-05
2084,209,1,pp,0.98802352,4.26E-06
1911,209,1,pp,0.928571429,0.000862968
2283,209,-1,np,-0.850314646,0.007471415
2174,209,-1,np,-0.934148484,0.000679106
2324,209,1,pp,0.874267171,0.004512386
2257,1583,-1,np,-0.898219696,0.002438797
1807,1583,-1,np,-0.934148484,0.000679106
1828,1583,-1,np,-0.952380952,0.0002604
2304,1583,-1,np,-0.952380952,0.0002604
2116,1583,-1,np,-0.915729116,0.001403174
2153,1583,-1,np,-0.838338383,0.009323116
1911,1583,1,pp,0.928571429,0.000862968
1791,1583,1,pp,0.934148484,0.000679106
2032,1583,1,pp,0.874267171,0.004512386
