ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
779,Zotu3756,2,6,6,1.93E-49,0,31,0.707106781,0
780,Zotu4044,1,0,0,3.42E-79,0,180,0,0
781,Zotu7803,2,0,0,2.84E-44,1,77,0,0
782,Zotu1667,1,0,0,1.23E-41,0,4,-1.401826052,0
783,Zotu2918,1,0,0,3.42E-79,0,179,0,0
784,Zotu1710,1,0,0,3.42E-79,0,211,0,0
785,Zotu1008,1,0,0,3.42E-79,0,176,0,0
786,Zotu3781,1,0,0,3.42E-79,0,175,0,0
787,Zotu1545,2,0.333333333,1,1.77E-26,0,50,-2,0
788,Zotu2246,2,1,1,9.85E-62,0,118,0,0
789,Zotu1937,3,15,58,1.20E-18,0.333333333,1,0.402139493,0
790,Zotu6457,3,3,3,1.61E-51,0,72,1.732050808,0
791,Zotu586,2,0,0,2.84E-44,1,83,0,0
792,Zotu20183,2,1,1,9.85E-62,0,115,0,0
793,Zotu2589,1,0,0,3.42E-79,0,209,0,0
794,Zotu2149,1,0,0,3.42E-79,0,239,0,0
795,Zotu4765,1,0,0,3.42E-79,0,146,0,0
796,Zotu2555,1,0,0,3.42E-79,0,170,0,0
797,Zotu931,1,0,0,3.42E-79,0,291,0,0
798,Zotu966,2,30,81,3.77E-20,0,1,-0.517036491,0
799,Zotu2893,1,0,0,3.42E-79,0,196,0,0
800,Zotu48,2,0,0,2.84E-44,1,79,0,0
801,Zotu3354,2,6,6,9.81E-35,0,12,0,0
802,Zotu3981,1,0,0,3.42E-79,0,193,0,0
803,Zotu2974,1,0,0,3.42E-79,0,212,0,0
804,Zotu732,1,0,0,3.42E-79,0,250,0,0
805,Zotu2201,5,29,29,8.31E-31,0.1,6,2.531139401,0
806,Zotu1683,1,0,0,3.42E-79,0,241,0,0
807,Zotu1567,1,0,0,1.54E-36,0,40,-0.912870929,0
808,Zotu1077,2,8,10,3.00E-30,0,13,-0.40824829,0
809,Zotu704,1,0,0,4.17E-34,0,5,-1.5,0
