ID,Name,node.degree,node.betw,node.stress,node.evcent,Clustering.Coefficient,No.module,Zi,Pi
318,Zotu2495,1,0,0,4.38E-208,0,209,0,0
319,Zotu1201,1,0,0,4.38E-208,0,208,0,0
320,Zotu4259,1,0,0,4.38E-208,0,205,0,0
321,Zotu4256,1,0,0,4.38E-208,0,203,0,0
322,Zotu1332,1,0,0,4.38E-208,0,202,0,0
323,Zotu2066,1,0,0,5.65E-106,0,25,-0.603022689,0
324,Zotu3681,2,3,3,5.42E-122,0,30,0.5,0
325,Zotu1546,1,0,0,4.38E-208,0,199,0,0
326,Zotu5262,1,0,0,1.28E-159,0,113,0,0
327,Zotu2652,2,21,21,5.74E-88,0,8,0.15249857,0
328,Zotu3504,1,0,0,4.92E-88,0,8,-0.686243566,0
329,Zotu4170,2,2,2,1.63E-140,0,47,1,0
330,Zotu3483,1,0,0,4.38E-208,0,194,0,0
331,Zotu1536,1,0,0,2.87E-131,0,63,-0.577350269,0
332,Zotu141,1,0,0,2.58E-13,0,9,-1.289775954,0
333,Zotu1824,2,380,2290,4.96E-18,0,0,-0.473522547,0
334,Zotu349,3,1,2,8.76E-72,0.666666667,56,0.75,0
335,Zotu273,5,1,3,0.437157652,0.7,33,0.661437828,0
336,Zotu1836,1,0,0,4.38E-208,0,191,0,0
337,Zotu320,2,0,0,7.49E-111,1,75,0,0
338,Zotu3605,1,0,0,4.38E-208,0,213,0,0
339,Zotu1222,1,0,0,1.28E-159,0,115,0,0
340,Zotu529,1,0,0,4.38E-208,0,188,0,0
341,Zotu913,3,13.5,42,2.25E-58,0.666666667,4,0.583459966,0
342,Zotu3284,1,0,0,4.38E-208,0,187,0,0
343,Zotu5104,1,0,0,4.38E-208,0,199,0,0
344,Zotu1945,2,0,0,2.12E-47,1,3,-0.338061702,0
345,Zotu1112,1,0,0,1.28E-159,0,112,0,0
346,Zotu1847,3,2,2,2.50E-99,0.333333333,66,1.414213562,0
347,Zotu1723,1,0,0,4.38E-208,0,185,0,0
348,Zotu824,1,0,0,1.82E-67,0,52,-1.206045378,0
349,Zotu826,1,0,0,1.04E-23,0,26,-1.448211116,0
350,Zotu1515,2,1,1,2.56E-159,0,110,0,0
351,Zotu2204,1,0,0,1.82E-67,0,52,-1.206045378,0
352,Zotu2338,1,0,0,4.92E-88,0,8,-0.686243566,0
353,Zotu592,1,0,0,2.60E-118,0,22,-0.894427191,0
354,Zotu1470,3,18,20,5.84E-58,0.333333333,5,0.565685425,0
355,Zotu1492,1,0,0,4.38E-208,0,182,0,0
356,Zotu456,2,0,0,2.76E-18,1,0,-0.473522547,0
357,Zotu2744,2,30,69,6.09E-59,0,4,-0.437594974,0
358,Zotu1175,2,6,6,4.47E-84,0,12,0,0
359,Zotu1242,1,0,0,1.28E-159,0,91,0,0
360,Zotu170,1,0,0,4.38E-208,0,177,0,0
361,Zotu2216,2,0,0,6.63E-72,1,57,-0.5,0
362,Zotu325,2,0,0,3.35E-76,1,61,-1,0
363,Zotu779,1,0,0,4.38E-208,0,174,0,0
364,Zotu2599,3,118,118,2.16E-46,0,3,0.676123404,0
365,Zotu3411,1,0,0,3.83E-122,0,30,-0.75,0
366,Zotu891,1,0,0,1.28E-159,0,106,0,0
367,Zotu2106,1,0,0,4.38E-208,0,170,0,0
368,Zotu506,1,0,0,4.38E-208,0,168,0,0
369,Zotu411,1,0,0,1.62E-17,0,0,-1.146423008,0
370,Zotu196,2,0,0,4.29E-70,1,13,-0.324442842,0
371,Zotu641,2,0,0,7.49E-111,1,83,0,0
372,Zotu492,1,0,0,1.28E-159,0,102,0,0
373,Zotu154,3,0.5,1,4.29E-76,0.666666667,53,1,0
374,Zotu522,1,0,0,4.38E-208,0,248,0,0
375,Zotu4388,5,29,56,4.40E-10,0.2,14,1.083887462,0
376,Zotu3870,2,2,2,1.63E-140,0,40,1,0
377,Zotu5244,1,0,0,4.38E-208,0,195,0,0
378,Zotu3184,1,0,0,1.28E-159,0,124,0,0
379,Zotu1427,2,0,0,7.49E-111,1,74,0,0
380,Zotu2306,2,0,0,7.49E-111,1,74,0,0
381,Zotu542,1,0,0,1.28E-159,0,114,0,0
382,Zotu298,2,0,0,7.49E-111,1,76,0,0
383,Zotu599,3,4,4,4.34E-89,0.333333333,20,1.224744871,0
384,Zotu2107,1,0,0,6.35E-102,0,21,-0.693375245,0
385,Zotu791,1,0,0,4.38E-208,0,159,0,0
386,Zotu281,1,0,0,1.28E-159,0,98,0,0
387,Zotu1654,2,0,0,3.65E-67,1,58,-0.301511345,0
388,Zotu3174,1,0,0,4.38E-208,0,232,0,0
389,Zotu190,2,22,60,1.25E-14,0,2,-0.501550391,0
390,Zotu1224,1,0,0,4.38E-208,0,169,0,0
391,Zotu775,1,0,0,2.10E-92,0,11,-1.414213562,0
392,Zotu865,1,0,0,3.77E-19,0,0,-1.146423008,0
393,Zotu277,4,115.5,1536,7.81E-17,0.666666667,0,0.872278376,0
394,Zotu3329,1,0,0,4.38E-208,0,209,0,0
395,Zotu2577,1,0,0,1.01E-140,0,36,-1,0
396,Zotu1704,1,0,0,5.65E-106,0,25,-0.603022689,0
397,Zotu3124,2,0,0,7.49E-111,1,68,0,0
398,Zotu1283,2,0,0,7.49E-111,1,83,0,0
399,Zotu2323,1,0,0,1.28E-159,0,121,0,0
400,Zotu2163,2,4,4,5.75E-131,0,28,0.816496581,0
401,Zotu3521,3,1.5,3,4.98E-67,0.666666667,52,0.603022689,0
402,Zotu1631,2,0,0,1.99E-84,1,16,0,0
403,Zotu534,2,3,3,5.75E-131,0,28,0.816496581,0
404,Zotu1712,2,2,2,1.63E-140,0,45,1,0
405,Zotu1714,1,0,0,1.28E-159,0,108,0,0
406,Zotu1232,1,0,0,4.38E-208,0,150,0,0
407,Zotu3818,1,0,0,4.38E-208,0,149,0,0
408,Zotu2978,1,0,0,4.38E-208,0,148,0,0
409,Zotu1916,2,5,5,9.92E-102,0,21,0.277350098,0
410,Zotu1749,1,0,0,5.82E-85,0,16,-1.08012345,0
411,Zotu3215,2,1,1,2.56E-159,0,93,0,0
412,Zotu388,1,0,0,1.28E-159,0,92,0,0
413,Zotu6076,3,5,5,9.25E-122,0,30,1.75,0
414,Zotu2385,3,0,0,5.65E-54,1,44,0,0
415,Zotu2754,1,0,0,7.74E-102,0,21,-0.693375245,0
416,Zotu2891,1,0,0,4.38E-208,0,146,0,0
417,Zotu138,1,0,0,4.38E-208,0,180,0,0
418,Zotu1421,1,0,0,4.38E-208,0,272,0,0
419,Zotu2829,3,0,0,5.65E-54,1,44,0,0
420,Zotu2592,2,0,0,3.35E-76,1,53,-1,0
421,Zotu1276,2,5,5,1.41E-84,0,16,0,0
422,Zotu2042,6,13.66666667,33,1.71E-12,0.4,9,1.794470893,0
423,Zotu1707,2,9,17,2.41E-13,0,9,-0.672926585,0
424,Zotu1876,1,0,0,4.38E-208,0,144,0,0
425,Zotu786,2,0,0,1.91E-86,1,18,0,0
426,Zotu1249,1,0,0,1.82E-67,0,58,-1.206045378,0
427,Zotu1099,1,0,0,4.38E-208,0,189,0,0
428,Zotu377,1,0,0,4.38E-208,0,152,0,0
429,Zotu1218,1,0,0,3.75E-111,0,51,-0.5,0
430,Zotu867,2,1,1,2.56E-159,0,89,0,0
431,Zotu553,1,0,0,6.35E-102,0,50,-1.58113883,0
432,Zotu355,3,36,88,1.49E-58,0.333333333,4,0.583459966,0
433,Zotu1992,1,0,0,4.38E-208,0,141,0,0
434,Zotu1078,3,0,0,0.318562706,1,33,-0.661437828,0
435,Zotu1475,1,0,0,1.28E-159,0,90,0,0
436,Zotu346,2,0,0,1.76E-19,1,1,-0.632455532,0
437,Zotu410,1,0,0,4.38E-208,0,225,0,0
438,Zotu370,2,0,0,6.84E-49,1,3,-0.338061702,0
439,Zotu2941,1,0,0,6.16E-100,0,10,-0.848874688,0
440,Zotu3366,1,0,0,4.38E-208,0,227,0,0
441,Zotu2391,2,0,0,7.49E-111,1,67,0,0
442,Zotu3475,1,0,0,4.38E-208,0,159,0,0
443,Zotu5977,1,0,0,1.04E-23,0,26,-1.448211116,0
444,Zotu628,2,2,2,1.63E-140,0,39,1,0
445,Zotu3195,2,1,1,2.56E-159,0,107,0,0
446,Zotu1390,1,0,0,4.38E-208,0,137,0,0
447,Zotu6660,1,0,0,1.45E-47,0,3,-1.352246808,0
448,Zotu1881,1,0,0,4.38E-208,0,140,0,0
449,Zotu2070,1,0,0,2.87E-131,0,29,-1.224744871,0
450,Zotu3830,1,0,0,4.38E-208,0,139,0,0
451,Zotu8083,3,0,0,3.01E-45,1,3,0.676123404,0
452,Zotu4624,1,0,0,2.94E-48,0,3,-1.352246808,0
453,Zotu2709,1,0,0,4.38E-208,0,214,0,0
454,Zotu2906,1,0,0,4.38E-208,0,145,0,0
455,Zotu601,1,0,0,1.28E-159,0,116,0,0
456,Zotu833,1,0,0,4.38E-208,0,132,0,0
457,Zotu1090,1,0,0,1.28E-159,0,94,0,0
458,Zotu841,1,0,0,1.28E-159,0,100,0,0
459,Zotu1140,2,0,0,7.49E-111,1,77,0,0
460,Zotu1115,2,1.5,3,3.57E-14,0,2,-0.501550391,0
461,Zotu1045,1,0,0,4.38E-208,0,130,0,0
462,Zotu5976,1,0,0,4.38E-208,0,223,0,0
463,Zotu978,1,0,0,1.28E-159,0,112,0,0
464,Zotu2933,2,0,0,7.49E-111,1,73,0,0
465,Zotu3603,4,6.5,13,2.92E-51,0.5,6,1.568929081,0
466,Zotu3301,1,0,0,4.38E-208,0,134,0,0
467,Zotu3772,1,0,0,4.38E-208,0,205,0,0
468,Zotu2883,2,1,1,2.56E-159,0,98,0,0
469,Zotu372,3,312,1364,4.49E-18,0,0,0.199377915,0
470,Zotu5220,1,0,0,4.38E-208,0,172,0,0
471,Zotu3355,2,1,1,2.56E-159,0,103,0,0
472,Zotu1133,1,0,0,4.38E-208,0,161,0,0
473,Zotu2947,1,0,0,4.38E-208,0,260,0,0
474,Zotu1985,1,0,0,1.01E-140,0,40,-1,0
475,Zotu1700,4,116.5,551,2.57E-17,0.5,0,0.872278376,0
476,Zotu3954,1,0,0,2.81E-58,0,5,-1.13137085,0
477,Zotu398,1,0,0,4.38E-208,0,196,0,0
478,Zotu2917,1,0,0,4.38E-208,0,147,0,0
479,Zotu932,3,0,0,5.65E-54,1,44,0,0
480,Zotu19285,2,112,112,6.60E-47,0,3,-0.338061702,0
481,Zotu1234,2,0,0,7.49E-111,1,65,0,0
482,Zotu1928,2,2,2,1.63E-140,0,36,1,0
483,Zotu721,1,0,0,4.38E-208,0,249,0,0
484,Zotu983,2,0.5,1,1.95E-39,0,19,-0.298511157,0
485,Zotu683,2,0,0,7.49E-111,1,70,0,0
486,Zotu4136,1,0,0,4.38E-208,0,158,0,0
487,Zotu276,2,24,40,5.44E-14,0,2,-0.501550391,0
488,Zotu272,1,0,0,4.38E-208,0,128,0,0
489,Zotu2690,2,1,1,2.56E-159,0,122,0,0
490,Zotu3439,1,0,0,4.38E-208,0,137,0,0
491,Zotu2934,1,0,0,1.28E-159,0,122,0,0
492,Zotu910,1,0,0,4.38E-208,0,218,0,0
493,Zotu1453,1,0,0,4.38E-208,0,211,0,0
494,Zotu1832,1,0,0,4.38E-208,0,127,0,0
495,Zotu808,2,0,0,1.19E-88,1,34,0,0
496,Zotu759,2,0,0,1.91E-51,1,6,-0.39223227,0
497,Zotu248,1,0,0,4.38E-208,0,156,0,0
498,Zotu2029,1,0,0,4.21E-118,0,22,-0.894427191,0
499,Zotu1157,1,0,0,4.38E-208,0,256,0,0
500,Zotu287,1,0,0,4.38E-208,0,150,0,0
501,Zotu341,3,23,49,2.75E-59,0,4,0.583459966,0
502,Zotu185,3,1,2,8.76E-72,0.666666667,57,0.75,0
503,Zotu1420,1,0,0,2.93E-72,0,55,-1.75,0
504,Zotu785,1,0,0,2.92E-77,0,17,-0.763762616,0
505,Zotu2388,1,0,0,4.38E-208,0,125,0,0
506,Zotu419,1,0,0,1.28E-159,0,87,0,0
507,Zotu4404,1,0,0,2.87E-131,0,64,-0.577350269,0
508,Zotu1006,1,0,0,4.38E-208,0,177,0,0
509,Zotu3898,1,0,0,4.38E-208,0,127,0,0
510,Zotu1936,2,2,2,1.63E-140,0,40,1,0
511,Zotu578,5,13,13,7.44E-77,0.1,17,2.291287847,0
512,Zotu3766,1,0,0,3.83E-122,0,32,-0.75,0
513,Zotu935,1,0,0,4.38E-208,0,277,0,0
514,Zotu698,1,0,0,2.93E-72,0,56,-1.75,0
515,Zotu1104,3,0,0,4.56E-10,1,14,-0.043355498,0
516,Zotu827,2,5,5,1.41E-84,0,16,0,0
517,Zotu1795,2,3,3,1.02E-96,0,23,0,0
518,Zotu1359,3,4,4,1.81E-96,0.333333333,23,1.58113883,0
519,Zotu256,2,2,2,1.63E-140,0,37,1,0
520,Zotu2359,1,0,0,4.38E-208,0,269,0,0
521,Zotu5904,1,0,0,1.28E-159,0,109,0,0
522,Zotu1660,1,0,0,4.38E-208,0,268,0,0
523,Zotu5192,2,1,1,2.56E-159,0,123,0,0
524,Zotu1830,1,0,0,4.38E-208,0,267,0,0
525,Zotu233,1,0,0,4.21E-118,0,22,-0.894427191,0
526,Zotu462,2,0,0,4.81E-77,1,17,0,0
527,Zotu363,5,26.56666667,69,9.41E-23,0.4,26,1.564068005,0
528,Zotu292,1,0,0,1.01E-140,0,37,-1,0
529,Zotu3894,1,0,0,4.38E-208,0,265,0,0
530,Zotu624,1,0,0,1.28E-159,0,115,0,0
531,Zotu260,1,0,0,4.38E-208,0,263,0,0
532,Zotu780,1,0,0,4.38E-208,0,262,0,0
533,Zotu818,3,1,2,8.76E-72,0.666666667,55,0.75,0
534,Zotu1510,1,0,0,4.38E-208,0,261,0,0
535,Zotu227,2,0,0,2.14E-99,1,82,0,0
536,Zotu1386,1,0,0,4.38E-208,0,260,0,0
