ID	hps_f_cd_1	hps_f_cd_2	hps_f_cd_3	hps_f_cd_4	hps_f_cd_5	hps_f_cd_6	hps_f_cd_7	hps_f_cd_8
Zotu2499								
Zotu14075								
Zotu17787								
Zotu1052							2	65
Zotu7129								
Zotu17398								
Zotu137	1	180		1	1	32		46
Zotu1776					1			51
Zotu5123								
Zotu5162								
Zotu8550								
Zotu8557								
Zotu1294							3	1
Zotu17852								
Zotu6819								
Zotu7733								
Zotu11615				1				
Zotu16870								
Zotu2132								
Zotu6301								
Zotu6161								
Zotu12637								
Zotu16071								
Zotu16579								
Zotu10184								
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902								
Zotu18663								
Zotu2424			1	2				
Zotu18676								
Zotu19506								
Zotu14448								
Zotu17597								
Zotu12437								
Zotu14585								
Zotu20266								
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656								
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670								
Zotu20004								
Zotu15082								
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297								
Zotu2697				108	1	1		1
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802								
Zotu6886								
Zotu16005								
Zotu1727		174	1					
Zotu10640								
Zotu7229						35		1
Zotu1750	1							
Zotu2907		31						
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993								
Zotu9173								
Zotu20134								
Zotu16018								
Zotu5583								
Zotu8841								
Zotu17732								
Zotu3011								
Zotu5765								
Zotu6240								
Zotu7961								
Zotu11511								
Zotu19491								
Zotu8463								
Zotu7658								
Zotu12921								
Zotu13277								
Zotu14952								
Zotu15982								
Zotu9990								
Zotu13620								
Zotu11813								
Zotu19700								
Zotu7385								
Zotu3085							1	
Zotu14032								
Zotu13198								
Zotu17583			1					
Zotu13975								
Zotu12317								
Zotu7882								
Zotu3657					1			
Zotu9423							1	
Zotu9734							1	
Zotu16172								
Zotu481	1					2	2	1
Zotu1375					2	1	2	1
Zotu9414								
Zotu7416								
Zotu1322				1		2		
Zotu1144				1		1	1	
Zotu869	1			1		1		
Zotu5561								
Zotu1614	110		1					
Zotu11137								
Zotu2792								
Zotu3593								
Zotu6691								
Zotu59	1	52	3	169	18	48	13	4
Zotu7465								
Zotu1846	1							
Zotu1939		1						
Zotu4102						2		
Zotu7965								
Zotu3417								
Zotu10803								
Zotu6000								
Zotu7098								
Zotu5193								
Zotu1153	1						2	
Zotu15740								
Zotu14576								
Zotu10479								
Zotu19206								
Zotu2281								
Zotu7239								
Zotu4263								
Zotu7235								
Zotu15967								
Zotu13217								
Zotu12741								
Zotu4500								
Zotu8736								
Zotu3930								
Zotu9368								
Zotu7376								
Zotu2787								1
Zotu18567								
Zotu7186								
Zotu18336							1	
Zotu8370								
Zotu12448								
Zotu17050								
Zotu13482								
Zotu18313								
Zotu12621								
Zotu4772								
Zotu13569								
Zotu13576								
Zotu19888								
Zotu10166								
Zotu15916								
Zotu2024	1							
Zotu5580								
Zotu10566								
Zotu11303								
Zotu12951								
Zotu7920	2							
Zotu5621							1	
Zotu16352								
Zotu13486								
Zotu18954								
Zotu7757								
Zotu11205								
Zotu10466								
Zotu14137								
Zotu17618								
Zotu4909								
Zotu2512								
Zotu7788								
Zotu9712							1	
Zotu9342								
Zotu10526								
Zotu5448						1	11	1
Zotu12326					1			
Zotu8717								
Zotu4639							1	
Zotu5642								
Zotu14306								
Zotu14557								
Zotu10175								
Zotu20618								
Zotu8553						1		
Zotu7017								
Zotu17978								
Zotu8020								
Zotu3009								
Zotu19790								
Zotu12655							1	
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750								
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517						15	35	
Zotu18523								
Zotu1552			209					
Zotu180	1	1		1	25	356		162
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564								
Zotu20140								
Zotu8417								
Zotu14768								
Zotu11529								
Zotu17015								
Zotu18318								
Zotu13340								
Zotu20417								
Zotu9970								
Zotu15748								
Zotu6149								
Zotu15438								
Zotu17956								
Zotu20790								
Zotu7626		1						
Zotu17845								
Zotu18290								
Zotu9121								
Zotu17219								
Zotu17069								
Zotu7130	1							
Zotu20833								
Zotu3496								
Zotu9385								
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601								
Zotu358								
Zotu5864								
Zotu5771								
Zotu11633								
Zotu105					44			
Zotu5517				30	1			2
Zotu2710	1							
Zotu6738								
Zotu17274								
Zotu17758								
Zotu20596								
Zotu3727								
Zotu13299								
Zotu16314								
Zotu19628								
Zotu20365								
Zotu1371		2	1				4	
Zotu1523							1	
Zotu835							3	
Zotu2736								
Zotu4165							1	
Zotu2052						1		2
Zotu15836								
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204	2					1	1	
Zotu328	1					1	5	1
Zotu4371								
Zotu6098								
Zotu35	1					19	1	
Zotu337							2	
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444								
Zotu880								
Zotu315			1			2	1	
Zotu5443							1	
Zotu8703								
Zotu20470							1	
Zotu982		1					2	1
Zotu1233				1				31
Zotu9405								
Zotu425	2				1		6	
Zotu4874								
Zotu15459								
Zotu18548								
Zotu10137								
Zotu11520								
Zotu17326								
Zotu5688								1
Zotu17127								
Zotu9958								
Zotu18705								
Zotu12818								
Zotu4875								
Zotu11762								
Zotu13239					1			
Zotu3508				1	40			
Zotu7316							1	
Zotu13139								
Zotu2013	1							
Zotu8412								
Zotu13426								
Zotu5118	1							
Zotu17863								
Zotu9929								
Zotu1484								1
Zotu14424								
Zotu747					2	26	4	83
Zotu1722			1					
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947					1			
Zotu3816								
Zotu3615							2	
Zotu4625								
Zotu3183								
Zotu20260								
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								44
Zotu2196								
Zotu3421								
Zotu4457							1	
Zotu4792								
Zotu7296								
Zotu9478								
Zotu179	2					2	3	
Zotu297								
Zotu424		2					1	
Zotu1011	1					1	2	
Zotu2378								
Zotu5975								
Zotu11408								
Zotu17503								
Zotu19527								
Zotu1250								
Zotu675		1	2		1	2	3	1
Zotu3210	1	1		1		1		
Zotu7988								
Zotu11292								
Zotu540		3	1	2			2	1
Zotu790			1				2	1
Zotu2755								
Zotu4216						2		
Zotu400	1						2	
Zotu24	11	7	12	6	2	44	52	15
Zotu1892								
Zotu18820								
Zotu7145								
Zotu19813								
Zotu10688								
Zotu2693								
Zotu3824								
Zotu4718								
Zotu17677								
Zotu8654								
Zotu16245								
Zotu12366								
Zotu2653								
Zotu3778						1		
Zotu3348								
Zotu2535								2
Zotu3811								
Zotu15688								
Zotu14444								
Zotu2566								
Zotu1132				1	2		4	1
Zotu7979	1		1				4	
Zotu3646								
Zotu16135								
Zotu7542								
Zotu19093								
Zotu17313								
Zotu5446								
Zotu13313								
Zotu15919								
Zotu8048								
Zotu12983								
Zotu6260								
Zotu13586								
Zotu19435								
Zotu15205							1	
Zotu5786							1	
Zotu5159								
Zotu7243		24						
Zotu9283								
Zotu6069								
Zotu13466								
Zotu16465								
Zotu11158								
Zotu568								
Zotu9054								
Zotu15611								
Zotu15377								
Zotu17295								
Zotu648							1	
Zotu18468								
Zotu3710								
Zotu8925								
Zotu12676								
Zotu12877								
Zotu1240	1							
Zotu6618								
Zotu14537								
Zotu19476								
Zotu5232								
Zotu7497								
Zotu13476								
Zotu3433							1	
Zotu3721						1	1	
Zotu8140			1					
Zotu20787		1				1		
Zotu1597		1				1		1
Zotu1787						12		
Zotu19090								
Zotu17418								
Zotu8491						4		
Zotu15911								
Zotu4323						14		
Zotu13818								
Zotu16328								
Zotu2168					21	1		
Zotu13694								
Zotu16043								
Zotu10356								
Zotu20249								
Zotu6935								
Zotu8428								
Zotu1873						15		1
Zotu1079				49		11	1	1
Zotu1379	2						2	
Zotu8281								
Zotu4377							1	
Zotu2407								
Zotu2000							1	
Zotu1711								
Zotu11272								
Zotu1126								
Zotu2291							1	1
Zotu19779								
Zotu4739								
Zotu15057								
Zotu5701								
Zotu119	133	31	1	51	956	1084	1	49
Zotu16690								
Zotu240	310		22		2		1	76
Zotu433		71	1		1			89
Zotu625							14	
