ID	hp_f_cd_1	hp_f_cd_2	hp_f_cd_3	hp_f_cd_4	hp_f_cd_5	hp_f_cd_6	hp_f_cd_7	hp_f_cd_8
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756								
Zotu17478								
Zotu13055								
Zotu16157	1							
Zotu5238				2				
Zotu15094								
Zotu19026								
Zotu9240						2		
Zotu13121								
Zotu13583								
Zotu17626								
Zotu11957								
Zotu17655							2	
Zotu17673								
Zotu3825	1	2	1	5	5			1
Zotu10810		4		1				
Zotu17341					1			
Zotu3133	1	2	1	6	1		2	3
Zotu6707	2	2						1
Zotu16124							1	
Zotu19649								
Zotu9784	1	1			1		1	1
Zotu13663			1				6	
Zotu14982								
Zotu11444								
Zotu8874	4	2			2		1	
Zotu7734		2			1			2
Zotu17514								
Zotu16513			2	1				
Zotu10724				2			1	
Zotu7342	4		1	1	1	1	5	
Zotu19319					1		1	
Zotu12450		3		2				
Zotu13970								
Zotu13338								
Zotu12174								
Zotu6364	1			2			1	3
Zotu8957					1			
Zotu7800								
Zotu13998								
Zotu7011		1						
Zotu3289	2	1	1		1		3	1
Zotu7871		1		3	3			1
Zotu13002							1	
Zotu9504	2							
Zotu4277	2	4	2	4	5	5		1
Zotu7117						1		
Zotu10040	1							
Zotu10833							1	
Zotu10788								
Zotu16396								
Zotu20753		1				1		
Zotu19821	1							
Zotu5919	2	1						
Zotu5354		2	2	2	2			
Zotu10197								
Zotu1555	12	11	21	17	13	8	24	8
Zotu7356	1	2			1			
Zotu17308	1							
Zotu14242		1			1			
Zotu9495								
Zotu6408	1			5	2	3	4	2
Zotu2878	4	8	10	22	20	10	3	2
Zotu6687	2	1		3	1	6	2	2
Zotu5255	1	1	4	4	2	4	7	5
Zotu14003				2				
Zotu13984								
Zotu17024								
Zotu6834							1	
Zotu16902								
Zotu19045			6					
Zotu13980								
Zotu2380	4	4	6	9	3	4	17	5
Zotu6490					3			1
Zotu15816								
Zotu10556					1			1
Zotu3733								1
Zotu7191			5		2			2
Zotu7715	2							
Zotu20466								
Zotu14553				2		2	1	1
Zotu18399		1	1					
Zotu18910								
Zotu18510								
Zotu4039		1					1	
Zotu10761							2	
Zotu16211								
Zotu10434			2				2	
Zotu9318								
Zotu10549	1				4			
Zotu6667								
Zotu10219		4	1				1	1
Zotu11391								
Zotu6703			4				1	
Zotu3193								
Zotu9390			3		2		2	
Zotu11797		1					1	
Zotu1400	6	4	7	2	3	4	6	4
Zotu13456								
Zotu1340	1					1		
Zotu5793								
Zotu14282		3			1			
Zotu7233		1					8	
Zotu9697		1	3					
Zotu13251								
Zotu7473	2							
Zotu14049								
Zotu19484								
Zotu886	3	2	1	2	2	2	1	
Zotu602		64		1	1	12	6	2
Zotu477	4	31			1	11		8
Zotu19793								
Zotu18673								
Zotu19261								
Zotu6815								
Zotu18915								
Zotu6483								
Zotu7463								
Zotu7041								
Zotu4926								
Zotu19467								
Zotu11779								
Zotu16269								
Zotu19331				2				
Zotu15482								
Zotu20018								
Zotu17942								
Zotu4198	1				2	2	1	
Zotu8387							1	
Zotu2597	3	5	2		1	5		
Zotu17194								
Zotu14835								
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358					1		3	
Zotu2202								
Zotu18975								
Zotu15606								
Zotu18299								
Zotu14428			2					2
Zotu7187								
Zotu20791								
Zotu5379								
Zotu13578								
Zotu1351	2				6	5	3	3
Zotu1893		4		1	5	1	2	
Zotu20700			2					
Zotu9290								
Zotu6421		1						
Zotu16176		3						
Zotu13880								
Zotu9811								
Zotu18383								
Zotu6796								
Zotu11544			2	2				
Zotu19264								
Zotu15838				3	1			
Zotu10993	2		2					
Zotu19945			1	1				
Zotu13952			1					
Zotu10007	1						3	
Zotu20474	1							
Zotu16519								
Zotu5191							1	
Zotu9928								
Zotu1508	6		1	1	6	2		3
Zotu17362	3							
Zotu5795				2				
Zotu9014								
Zotu11305	1			3	2			
Zotu6101	2							5
Zotu17446					1		1	
Zotu8494	3						3	
Zotu7076	1		1					
Zotu19108								
Zotu7659								
Zotu11122						1		
Zotu3998								1
Zotu17230								
Zotu6241		4						
Zotu564	5	5	6	4	4	4	10	2
Zotu9774						1		
Zotu5969				1				
Zotu10850			2			1		1
Zotu13175						1		
Zotu629	7		1		2		3	3
Zotu953		3		2	10		5	1
Zotu7595				1				
Zotu3597			1	1		2		
Zotu2520					1		5	1
Zotu10341								
Zotu6514							1	
Zotu8183			1	1				
Zotu20841								1
Zotu10985			1		1	3		
Zotu362	8	10	6	6	18	14	14	6
Zotu890		12			1	9	1	1
Zotu548	9	14	10	1	12	9	7	10
Zotu3134	2				1	1	1	1
Zotu4812		2			1	2		
Zotu13892								
Zotu830	1	5	4	4	4	5	7	10
Zotu274	1	20	10	3	21	25	12	13
Zotu1640	2	3		1	1	7	3	
Zotu4310		1						1
Zotu2208		2		1	1	3	3	1
Zotu432	15	22	11	19	26	17	36	4
Zotu2687		2	2		3	2	5	
Zotu823	8	5	4	3	9	7	17	2
Zotu4594	1	1		1		1	6	
Zotu20763								
Zotu11178								
Zotu15780								
Zotu2238		4	1	2	3	4	3	
Zotu8708	1							
Zotu8038			1				3	
Zotu11843						1		
Zotu2499						30		1
Zotu14075						4		1
Zotu17787								
Zotu1052	1	9	2	7				4
Zotu7129		1	1			1	1	
Zotu17398								
Zotu137	17	8	9	12	6	15	13	10
Zotu1776								1
Zotu5123								
Zotu5162				1	3			
Zotu8550								
Zotu8557	1				1	1	2	
Zotu1294	4	3	1			3	6	1
Zotu17852					1			
Zotu6819		5	2		1		1	1
Zotu7733		4						
Zotu11615		1					1	
Zotu16870								
Zotu2132		5	1	4		1		2
Zotu6301				1	2		1	
Zotu6161		2	4	3	3		3	3
Zotu12637		1	1		1			
Zotu16071								
Zotu16579								
Zotu10184								
Zotu17269								
Zotu15410								
Zotu20527					5			
Zotu15902			1					1
Zotu18663								
Zotu2424	4	2	11	3	4	4		5
Zotu18676					1		1	
Zotu19506		5						
Zotu14448	4		1					
Zotu17597		2					1	
Zotu12437								
Zotu14585		1	3					
Zotu20266								
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656		2					2	
Zotu18844					1			
Zotu20369								
Zotu12074								
Zotu18670								
Zotu20004								
Zotu15082	2							
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297							3	
Zotu2697						1		
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802					1			
Zotu6886					1			1
Zotu16005								
Zotu1727								
Zotu10640								
Zotu7229		4						
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170						2		
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993		11		1		1	1	
Zotu9173								
Zotu20134								
Zotu16018		1						
Zotu5583							1	
Zotu8841		1						
Zotu17732								
Zotu3011	3		2	2		4	4	1
Zotu5765		1	1	1	1			
Zotu6240	2	2			1	1	1	5
Zotu7961								
Zotu11511								
Zotu19491	2					1		
Zotu8463	2				4		2	1
Zotu7658			1					
Zotu12921			1		2			
Zotu13277	2							
Zotu14952								
Zotu15982								
Zotu9990		4			1			
Zotu13620			2				3	
Zotu11813								
Zotu19700								
Zotu7385	2	2	1		4		3	
Zotu3085		1	3				6	1
Zotu14032								
Zotu13198								
Zotu17583								
Zotu13975							1	
Zotu12317				1				
Zotu7882						2	5	
Zotu3657	6		6	2	8	6	5	4
Zotu9423								
Zotu9734						4		
Zotu16172							2	2
Zotu481	23	28	39	15	22	14	38	22
Zotu1375	3	12	17		10	10	10	3
Zotu9414		1		1				
Zotu7416	2	2	1		2			
Zotu1322	9	8	11	7	9	13	24	9
Zotu1144	5	3	6	7	7	2	5	4
Zotu869	7	7	8	5	3	6	17	11
Zotu5561	1	2		1	2			2
Zotu1614		1		1	1	2	4	1
Zotu11137								
Zotu2792		3				3		1
Zotu3593	1			3	1		2	
Zotu6691		3				9		1
Zotu59	113	91	65	71	62	73	76	82
Zotu7465	1	2		4				
Zotu1846	16	3	8	3	5	9	6	5
Zotu1939								
Zotu4102	2					2	1	
Zotu7965	2		1					1
Zotu3417	10	3	2			2		
Zotu10803								
Zotu6000	4		1	1				1
Zotu7098								2
Zotu5193		9		1	2	1	4	
Zotu1153	2	6	11	18	9	4	8	15
Zotu15740								1
Zotu14576		1				1		1
Zotu10479							2	
Zotu19206	4		2	1				
Zotu2281	5	3	6			1		
Zotu7239			2					
Zotu4263	5	4	3		2		2	2
Zotu7235								
Zotu15967								1
Zotu13217						3		
Zotu12741	3						3	
Zotu4500		1	2			15		
Zotu8736								
Zotu3930	3	3	1	1			1	
Zotu9368			1					
Zotu7376		1						
Zotu2787	2	1		1		2	2	
Zotu18567						8		
Zotu7186				1		1	1	
Zotu18336				1				
Zotu8370								1
Zotu12448					3			
Zotu17050								
Zotu13482		1						1
Zotu18313								
Zotu12621								
Zotu4772	1			1	2	5		2
Zotu13569								
Zotu13576								
Zotu19888			1					
Zotu10166								
Zotu15916								
Zotu2024	1	4	1	3	5	2	2	
Zotu5580					1			
Zotu10566		2						3
Zotu11303							2	
Zotu12951			1					
Zotu7920						1		
Zotu5621					1			
Zotu16352	1				1	2		1
Zotu13486	1						1	
Zotu18954					1			
Zotu7757			1			3	5	
Zotu11205								
Zotu10466				1				
Zotu14137				2				
Zotu17618						1		
Zotu4909		1		2			1	
Zotu2512	1	3	7	2	4	2	1	1
Zotu7788								
Zotu9712							2	1
Zotu9342								
Zotu10526								
Zotu5448				1				
Zotu12326								
Zotu8717								
Zotu4639								
Zotu5642								
Zotu14306			1		1		2	
Zotu14557								
Zotu10175								
Zotu20618								
Zotu8553								
Zotu7017						1		
Zotu17978								
Zotu8020					1			
Zotu3009								
Zotu19790							2	
Zotu12655					1			
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750								
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517								
Zotu18523								
Zotu1552			5					
Zotu180				4	2			
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564						2		2
Zotu20140				3				
Zotu8417						1		
Zotu14768								
Zotu11529								
Zotu17015		1			1		3	
Zotu18318						2		
Zotu13340		1						
Zotu20417	1		2					2
Zotu9970						2		
Zotu15748		2						
Zotu6149	1	1		3	3		1	
Zotu15438					1		1	
Zotu17956								
Zotu20790		4						
Zotu7626				1	4		1	
Zotu17845								
Zotu18290		1						
Zotu9121	1		1					
Zotu17219		5			2		1	
Zotu17069								
Zotu7130	1	1		1	2		2	1
Zotu20833				3	1			
Zotu3496								
Zotu9385								
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601								
Zotu358		1						
Zotu5864								
Zotu5771								
Zotu11633								
Zotu105								1
Zotu5517								
Zotu2710								
Zotu6738		1				4	2	
Zotu17274								
Zotu17758		3						
Zotu20596								
Zotu3727		1	1					
Zotu13299								1
Zotu16314								
Zotu19628								
Zotu20365								
Zotu1371			1					
Zotu1523							1	
Zotu835	2	1		2	3	2	1	1
Zotu2736								
Zotu4165								
Zotu2052						1		
Zotu15836								
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204								
Zotu328								
Zotu4371								
Zotu6098								
Zotu35								
Zotu337								
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444	1							
Zotu880								2
Zotu315	1		1	6	2		1	1
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982					1		2	
Zotu1233	6	1	3	7	1	2	1	2
Zotu9405								
Zotu425	7	3	11	6	11	9	7	5
Zotu4874	3					3	1	2
Zotu15459								
Zotu18548		1	1	2	1			
Zotu10137		1						
Zotu11520		6		2				1
Zotu17326								
Zotu5688	1	2						
Zotu17127								
Zotu9958								
Zotu18705		2		1				1
Zotu12818								
Zotu4875							1	1
Zotu11762								
Zotu13239								
Zotu3508								
Zotu7316								
Zotu13139								
Zotu2013	2	2			1		5	2
Zotu8412			1					
Zotu13426								
Zotu5118	1							
Zotu17863								
Zotu9929								
Zotu1484	1	1			3			
Zotu14424	4							
Zotu747						4	1	
Zotu1722		9				7		9
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947		1				1		
Zotu3816			1			2		
Zotu3615								
Zotu4625								
Zotu3183								
Zotu20260								
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								
Zotu2196								
Zotu3421					1	1		
Zotu4457								
Zotu4792								
Zotu7296		2						
Zotu9478								
Zotu179								
Zotu297								
Zotu424								
Zotu1011			4		1			3
Zotu2378								
Zotu5975		1			1		1	1
Zotu11408						1		
Zotu17503					1			1
Zotu19527					1			
Zotu1250	1					4	1	1
Zotu675	6	2	1	4	4	15	8	5
Zotu3210	1	2	4			3		1
Zotu7988								
Zotu11292								
Zotu540		6	6	4	17	4	4	15
Zotu790	6	5	4	1	1	10	8	4
Zotu2755	1					1	1	
Zotu4216	1	2		5	1	2	2	
Zotu400	10	3	1	16	7	6	4	6
Zotu24	62	43	38	46	37	109	55	79
Zotu1892								
Zotu18820								
Zotu7145								
Zotu19813								
Zotu10688								
Zotu2693		1						
Zotu3824								
Zotu4718								
Zotu17677								
Zotu8654			1		1			
Zotu16245	2						2	
Zotu12366	2				2	2	1	1
Zotu2653	4	1		4	5		2	3
Zotu3778	4	6	5	3	2		2	1
Zotu3348								
Zotu2535	2				3	3	3	4
Zotu3811			1				1	
Zotu15688								
Zotu14444								
Zotu2566		3				1	3	1
Zotu1132			1	1	1	1		1
Zotu7979	1		1	1			1	
Zotu3646	4		2					
Zotu16135			1				1	
Zotu7542								
Zotu19093								
Zotu17313								
Zotu5446								
Zotu13313								
Zotu15919								
Zotu8048								
Zotu12983								
Zotu6260								
Zotu13586								
Zotu19435								
Zotu15205								
Zotu5786		1				24	1	9
Zotu5159		3			1	11		
Zotu7243								
Zotu9283								
Zotu6069			6			5	2	3
Zotu13466			3					2
Zotu16465					2			
Zotu11158								
Zotu568								
Zotu9054								
Zotu15611								
Zotu15377	1							
Zotu17295								
Zotu648						1		
Zotu18468			1		4			
Zotu3710	3							
Zotu8925								
Zotu12676								
Zotu12877								
Zotu1240	7	1		2	3	6	3	2
Zotu6618			1	1		1		
Zotu14537	2							
Zotu19476								
Zotu5232						1		
Zotu7497						6	1	4
Zotu13476		2						
Zotu3433		1		1				
Zotu3721		4				1	1	1
Zotu8140	1	1		1		6		3
Zotu20787		1	1	1	4	5	2	5
Zotu1597	7	15	5	7	13	7	8	4
Zotu1787	11	5	7	3	7	3	2	3
Zotu19090	3		1	5	7		1	1
Zotu17418			1				4	
Zotu8491								
Zotu15911	1							
Zotu4323	1	1		3	1		1	2
Zotu13818								
Zotu16328							1	
Zotu2168		2	9	4	2		1	4
Zotu13694						1		
Zotu16043								
Zotu10356			2		1	1		
Zotu20249								
Zotu6935								
