ID	bs_f_1	bs_f_2	bs_f_3	bs_f_4	bs_f_5	bs_f_6	bs_f_7	bs_f_8
Zotu8387	1		1	1	1		2	6
Zotu2597	1	1	1	1	5	1	2	
Zotu17194							1	
Zotu14835								
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358					1			
Zotu2202	2		3	4	5			
Zotu18975						2		
Zotu15606								
Zotu18299	1							
Zotu14428	1							
Zotu7187								
Zotu20791				1				
Zotu5379								
Zotu13578								
Zotu1351	1	8	9	2	5	6	7	12
Zotu1893	3	1	5	4	3	4	9	8
Zotu20700	1							
Zotu9290								
Zotu6421	1				1			
Zotu16176							1	1
Zotu13880						2		
Zotu9811	1			1	1			1
Zotu18383								
Zotu6796								
Zotu11544						1		
Zotu19264								
Zotu15838								
Zotu10993								
Zotu19945								1
Zotu13952							2	
Zotu10007	1				1			2
Zotu20474				1				
Zotu16519								
Zotu5191		2		3	1	1	1	2
Zotu9928								
Zotu1508	2	3	3		4	6	9	3
Zotu17362			2					
Zotu5795				1	2		1	
Zotu9014								
Zotu11305		1						
Zotu6101	2	2	1	1			2	1
Zotu17446	1							
Zotu8494							3	1
Zotu7076							1	
Zotu19108	1							
Zotu7659								
Zotu11122	2							1
Zotu3998								
Zotu17230		11	3					1
Zotu6241							1	
Zotu564	26	23	12	15	16	18	11	11
Zotu9774	1			1	2	1		
Zotu5969				4	2			
Zotu10850				1	2		1	
Zotu13175		1		1				2
Zotu629	6	8	5	10	12	15	28	12
Zotu953	13	7	4	7	7	5	26	9
Zotu7595	1	1						
Zotu3597	3	5	1	4	2	4	2	1
Zotu2520	8				2	1	1	
Zotu10341								
Zotu6514	2							
Zotu8183			2			1		
Zotu20841	1							
Zotu10985		1				3		2
Zotu362	17	24	17	17	40	20	25	41
Zotu890	5	2	6	2	16	17	12	5
Zotu548	11	5	8	8	17	22	24	32
Zotu3134	2	1		3	2		4	1
Zotu4812	2	1	1		1	1	1	1
Zotu13892		1					2	
Zotu830	10	14	7	4	15	13	3	11
Zotu274	20	11	12	18	18	37	40	31
Zotu1640	4	5	1		4	4	3	3
Zotu4310		1		1		1	1	1
Zotu2208	2	1		4	5	5	5	9
Zotu432	9	24	23	26	36	30	23	23
Zotu2687	1	2	6	3	2	8	11	6
Zotu823	7	9	8	8	9	10	20	25
Zotu4594		1	2	3	4	2	6	4
Zotu20763								
Zotu11178						1		
Zotu15780					1			
Zotu2238	1	4	1	2		3	3	8
Zotu8708				1			1	1
Zotu8038			1	2	1	4	3	2
Zotu11843	1					2	1	1
Zotu2499								
Zotu14075								
Zotu17787								
Zotu1052	3	9	4	9	3	1	5	9
Zotu7129	1		1			1		2
Zotu17398		1						
Zotu137	8	14	17	16	20	31	33	44
Zotu1776						1		1
Zotu5123	1	1				1		1
Zotu5162			2	2	2			
Zotu8550								
Zotu8557					1			
Zotu1294	3	4	7	6	9	7	5	13
Zotu17852		2					5	
Zotu6819	3		3			1	4	3
Zotu7733			2					1
Zotu11615	1							
Zotu16870								
Zotu2132	2	8	1	2	1	4	7	2
Zotu6301		1		1				
Zotu6161					1	3	1	
Zotu12637				1				
Zotu16071								
Zotu16579								
Zotu10184				3	1	4		1
Zotu17269	1							
Zotu15410								
Zotu20527								
Zotu15902	1	3			1			
Zotu18663	1	1		2		1	1	
Zotu2424	2	2	4	6	5	2	2	8
Zotu18676		1	1					
Zotu19506								
Zotu14448								3
Zotu17597							1	
Zotu12437						1		
Zotu14585	1	2		1	3			
Zotu20266			5					
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656								
Zotu18844					1			
Zotu20369								
Zotu12074								
Zotu18670					2			4
Zotu20004								5
Zotu15082			1				3	1
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297	1							
Zotu2697								
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802			1					
Zotu6886		2	3	2	1	2	2	3
Zotu16005		1						6
Zotu1727								
Zotu10640	3	10		3	1		2	2
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170							3	
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982	2							
Zotu993	4	3			3	1	2	2
Zotu9173					1			
Zotu20134								
Zotu16018	2				2		2	
Zotu5583	2	2	1	3	2	3		1
Zotu8841			1		2			
Zotu17732								1
Zotu3011	2	2	2	1		2	4	5
Zotu5765					2		2	5
Zotu6240	1		2		5		6	2
Zotu7961	1				1		1	
Zotu11511		1			1	1	1	
Zotu19491						1	1	
Zotu8463								
Zotu7658					2	1	1	1
Zotu12921		1			1			
Zotu13277								
Zotu14952								
Zotu15982				1				
Zotu9990								1
Zotu13620						2		1
Zotu11813								
Zotu19700								
Zotu7385	2			3				1
Zotu3085	1	3	3	4		4	4	2
Zotu14032			1				3	1
Zotu13198		1	1					3
Zotu17583	2							1
Zotu13975								
Zotu12317								
Zotu7882		2	1		1			
Zotu3657	1	1	1	1	4	1	3	7
Zotu9423		3			2	1	3	1
Zotu9734					1	2	2	4
Zotu16172			1			5		
Zotu481	18	21	30	16	25	31	40	25
Zotu1375	4	2	3	9	5	5	9	10
Zotu9414								
Zotu7416				2	3	3	1	
Zotu1322	2	7	6	4	3	8	9	11
Zotu1144	7	3	12	10	18	9	11	9
Zotu869	10	6	7	8	10	24	14	16
Zotu5561				1		1	2	
Zotu1614				5		1	1	2
Zotu11137				4				3
Zotu2792	2	2	1	2		4	3	2
Zotu3593			2	2	1			1
Zotu6691					3	1		
Zotu59	103	98	104	103	99	129	157	125
Zotu7465			1	2			5	2
Zotu1846	8	4	2	5	3	7	8	11
Zotu1939			1	1				
Zotu4102		2	2		1		3	4
Zotu7965								
Zotu3417		7	6		2	2	3	3
Zotu10803		2					1	
Zotu6000		2			1	1	2	3
Zotu7098	1							
Zotu5193	1		3				2	2
Zotu1153	9	9	17	5	6	3	12	16
Zotu15740			2			2		1
Zotu14576								
Zotu10479					1			
Zotu19206		1						
