ID	hps_ck_1	hps_ck_2	hps_ck_3	hps_ck_4	hps_ck_5	hps_ck_6	hps_ck_7	hps_ck_8
Zotu5368		2	1	6		1		1
Zotu9767						1		
Zotu16970							3	
Zotu11437	2							1
Zotu19585				1				
Zotu10191		1	1		2			2
Zotu13056				1	2		1	2
Zotu3867	4	2	3	4	1	1	2	3
Zotu12566	1				1		1	
Zotu9226	1		1			1	1	
Zotu17018		1				3	1	
Zotu16019							1	
Zotu1092	12	10	6	8	10	4	8	7
Zotu2660	3	2	2	3		4	1	11
Zotu6931	3	2		2		1	3	
Zotu4374	2	1	2	3	2	4	2	1
Zotu3934	5	4	1	3	2	4	2	2
Zotu1820	2	6	5	6	7	1		8
Zotu5548			1	1	3			1
Zotu1014	11	8	5	8	14	12	13	10
Zotu1329	6	5	6	10	5	12	6	9
Zotu5101	2	2					2	
Zotu19975								
Zotu5226	2	2		4	1			2
Zotu16362	4	5	4	5	3	2	3	3
Zotu16397	5			1	2			2
Zotu19198					2			
Zotu19911								
Zotu13061								
Zotu20336								
Zotu17692	32	23	12	24	40	16	29	27
Zotu20273								
Zotu18526								
Zotu13857						1		
Zotu20408								
Zotu17938								
Zotu20362								
Zotu14640								
Zotu14203								
Zotu19976								
Zotu19332								
Zotu19692								
Zotu14297		1		1				
Zotu17755								
Zotu18807								
Zotu19161								
Zotu19298	2			3	2	2		3
Zotu19191								
Zotu20068								
Zotu13963		1						
Zotu6623	2	1				1		
Zotu1466	11	14	8	3	3	8	13	
Zotu7885								
Zotu6087								
Zotu13711		2						
Zotu20773								
Zotu19711		3		1				
Zotu2950								
Zotu14156	1			2			1	
Zotu7297								
Zotu16868		1						
Zotu17508								
Zotu11070								
Zotu14329	1						1	
Zotu3405								
Zotu9027								
Zotu2972	3		1	2	1		2	3
Zotu621	11	17	11	7	11	14	16	18
Zotu1586	3	4	1	1	1	4	1	4
Zotu3619	1		1	1	3	1	1	
Zotu5333	1	1			2	1		2
Zotu950	2	2	5	7		3	3	3
Zotu15367								
Zotu19209								
Zotu1381	3	2	1	1	1		1	
Zotu11635								
Zotu18222								
Zotu15350								
Zotu17534								
Zotu2963								
Zotu10535	1	2						
Zotu2371								
Zotu3084					1			
Zotu6203								
Zotu13290	1			1			1	
Zotu6009	1	1			1		1	
Zotu8449			1					1
Zotu18337								
Zotu1762	4	6	4	7	6	2	2	
Zotu16706		2				1		
Zotu13762					1			
Zotu8536			1			1		3
Zotu7540						1		2
Zotu10977						2		
Zotu1284	3	4	4	5	3	10	8	4
Zotu14146		1					2	
Zotu1677	2	6	2	5	5	4	9	9
Zotu11004							1	
Zotu3808	2	1		2		5	1	2
Zotu7347	1			1			3	
Zotu11616		1						
Zotu2389	5	2	4	1		2	5	8
Zotu8715		1		3		1		1
Zotu12184	2							
Zotu7125			1	2	1	2	1	
Zotu15875								
Zotu6338	6	7	1	1	1	1		2
Zotu19960				2			1	
Zotu9139		3						
Zotu6093		5	1	2	4	1	1	
Zotu14236								
Zotu18668		1						
Zotu4654		1	2	1		3	6	1
Zotu17351							3	
Zotu17950		1			1			
Zotu13553		1			2	1		
Zotu18508					1			
Zotu11849								1
Zotu11882					1			
Zotu18774			1	1	1			1
Zotu13220								
Zotu14978	1			1				1
Zotu14895						1		
Zotu6097	3				1	5		2
Zotu11945		2	2					
Zotu16411								
Zotu19031		1					1	
Zotu8858	1	1						
Zotu20565								
Zotu11238						2		
Zotu11860								
Zotu13751								
Zotu10768								
Zotu12127								
Zotu6486								
Zotu885				1	2		2	
Zotu4756								
Zotu17478								
Zotu13055						1	2	
Zotu16157	1			1		2	2	
Zotu5238	1		1	3	1			
Zotu15094								
Zotu19026				1	1			
Zotu9240		4				1		
Zotu13121								
Zotu13583								
Zotu17626								
Zotu11957		1			3			
Zotu17655					1			
Zotu17673	3							1
Zotu3825				1		1		
Zotu10810		1		1	3	1		1
Zotu17341	2					1		
Zotu3133			2	3	4	3	3	1
Zotu6707		1		1		1	1	2
Zotu16124							1	
Zotu19649								
Zotu9784	2				1	2		1
Zotu13663				1				
Zotu14982		1			1			
Zotu11444						1		1
Zotu8874	1				3			
Zotu7734	4						1	
Zotu17514			1					
Zotu16513				2	4			
Zotu10724				1	1			2
Zotu7342	2	1		1				1
Zotu19319								
Zotu12450		1				1		
Zotu13970								
Zotu13338								
Zotu12174			1					
Zotu6364								
Zotu8957								
Zotu7800								3
Zotu13998		1					1	
Zotu7011	2							
Zotu3289				1	1			3
Zotu7871	2	1					1	
Zotu13002					1			
Zotu9504								
Zotu4277		1		2	4	1	3	
Zotu7117								
Zotu10040								
Zotu10833								
Zotu10788								
Zotu16396								
Zotu20753								
Zotu19821								
Zotu5919	6	1	1	1				2
