ID	bs_ck_1	bs_ck_2	bs_ck_3	bs_ck_4	bs_ck_5	bs_ck_6	bs_ck_7	bs_ck_8
Zotu8449				2			1	
Zotu18337		2			1			
Zotu1762	2	1	7	6	4	6	4	2
Zotu16706				3		2	1	
Zotu13762			1					
Zotu8536	2		1				2	1
Zotu7540	1		1	1				
Zotu10977		1						
Zotu1284		1	4	4	4	4	5	5
Zotu14146		1			2	1		1
Zotu1677		5	2	9	7	4	7	7
Zotu11004	3				1	1		2
Zotu3808	2	2	5	1	1	1	6	2
Zotu7347	2		3		1			2
Zotu11616				1	1			1
Zotu2389	8	3	4	3		3	2	2
Zotu8715		1		2	1	1		
Zotu12184								
Zotu7125		2	2	1		1		1
Zotu15875								
Zotu6338		1		2	1			2
Zotu19960								
Zotu9139					1			2
Zotu6093	3			1		1		2
Zotu14236								
Zotu18668							1	
Zotu4654	2	1				3	3	5
Zotu17351	3							
Zotu17950			1				1	
Zotu13553			2	1				
Zotu18508					1			
Zotu11849								2
Zotu11882				1	1			
Zotu18774				1				
Zotu13220				3			1	
Zotu14978			1					
Zotu14895								
Zotu6097	2			1		2		2
Zotu11945				1				
Zotu16411					1			
Zotu19031								
Zotu8858				3				
Zotu20565								
Zotu11238								
Zotu11860			1				3	
Zotu13751		1						
Zotu10768					1			
Zotu12127								
Zotu6486								
Zotu885								
Zotu4756						1		
Zotu17478								
Zotu13055								
Zotu16157	3							
Zotu5238			1			5		
Zotu15094				1	1			
Zotu19026		1		1	2			1
Zotu9240				3	2	2		
Zotu13121								
Zotu13583								
Zotu17626								
Zotu11957		2		2	1	1		1
Zotu17655						1		
Zotu17673		1	2					
Zotu3825			2	2	2		2	
Zotu10810		1					2	
Zotu17341	1							
Zotu3133	4	1	3	3	1	2	1	
Zotu6707					1		1	1
Zotu16124		1	2					
Zotu19649	1						1	
Zotu9784		1		1	1	1	2	
Zotu13663	2	2		1			2	1
Zotu14982	1			1				
Zotu11444							1	1
Zotu8874				1	1			
Zotu7734			1	3		2		
Zotu17514								1
Zotu16513	2			1			2	
Zotu10724	1					1		1
Zotu7342	1							1
Zotu19319								
Zotu12450				1		2		
Zotu13970								
Zotu13338					1			
Zotu12174							2	
Zotu6364				1				
Zotu8957						1		
Zotu7800								2
Zotu13998					1	1		
Zotu7011	1	2						
Zotu3289	2	2		5		1	1	
Zotu7871					1			
Zotu13002				4	2			
Zotu9504				1				
Zotu4277				5	1	1		1
Zotu7117								
Zotu10040			2					
Zotu10833				1	1			
Zotu10788	1					3		
Zotu16396			2					
Zotu20753							1	
Zotu19821	1			2				
Zotu5919	2		1	2	2	1		
Zotu5354		2	1	1	1			1
Zotu10197	2					1		3
Zotu1555	6	3	3	1	9	3	5	4
Zotu7356		1	2	2				
Zotu17308		1						
Zotu14242			1					
Zotu9495								1
Zotu6408	1			1	5		2	2
Zotu2878	4	2	3	3	5	1	2	
Zotu6687	3				2		2	1
Zotu5255		2			3			1
Zotu14003	3			1				
Zotu13984				3				
Zotu17024								
Zotu6834	2	1			1			3
Zotu16902	1		1					
Zotu19045								
Zotu13980							1	
Zotu2380	1		1	1	9			4
Zotu6490	2		1	1			3	2
Zotu15816						1		
Zotu10556								
Zotu3733							1	
Zotu7191	1	1			1	1	3	
Zotu7715			1				1	
Zotu20466			1	1				
Zotu14553						1		
Zotu18399	1		1		1			
Zotu18910		1	2		1	1		
Zotu18510			1					
Zotu4039			1		1	1	2	
Zotu10761					1	1		1
Zotu16211								
Zotu10434			1	1	2		1	
Zotu9318	1				2		2	2
Zotu10549				1		1	1	
Zotu6667			2	1	2	2		
Zotu10219							2	
Zotu11391							2	
Zotu6703				3		2		1
Zotu3193				1				
Zotu9390	1	2	1	3	1			2
Zotu11797								
Zotu1400	8	1	3	12	10	6	9	10
Zotu13456					1			
Zotu1340				1		1	1	
Zotu5793	4	3		2	1	1	1	
Zotu14282								
Zotu7233								
Zotu9697	3							
Zotu13251			1				1	
Zotu7473				1				
Zotu14049		1				2	2	1
Zotu19484								
Zotu886	6	10		8	9	11	6	10
Zotu602	6	20		9	2	3	23	3
Zotu477	13	50	2	8	2	5	15	2
Zotu19793								
Zotu18673							1	
Zotu19261								
Zotu6815							2	
Zotu18915								
Zotu6483								
Zotu7463						1		
Zotu7041								
Zotu4926					1		1	
Zotu19467								
Zotu11779							1	
Zotu16269								
Zotu19331								
Zotu15482								
Zotu20018								
Zotu17942	1							
Zotu4198	2	1		2	2	2	2	6
Zotu8387						1	2	2
Zotu2597	4	3	2		1	1	11	7
Zotu17194								
Zotu14835								
Zotu20732							1	
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358								
Zotu2202							1	
Zotu18975								
Zotu15606						1		
Zotu18299					1			
Zotu14428			1	1				
Zotu7187	1							
Zotu20791							1	
Zotu5379								
Zotu13578								
Zotu1351		2	8	4	4	9	6	5
Zotu1893	4		4	4	5	3	6	5
Zotu20700				1				
Zotu9290								
Zotu6421							1	
Zotu16176								1
Zotu13880			1			1		
Zotu9811						1		1
Zotu18383								
Zotu6796								
Zotu11544	1							1
Zotu19264						1		
Zotu15838			3			1		
Zotu10993							2	
Zotu19945								
Zotu13952								
Zotu10007	1	1			1		1	
Zotu20474				1	1			1
Zotu16519								
Zotu5191		1	3	1	1		1	3
Zotu9928								
Zotu1508	1	3	1	9	3	3	4	7
Zotu17362			2				1	
Zotu5795	1				1		1	2
Zotu9014								
Zotu11305		1						
Zotu6101	1			1	4			1
Zotu17446	1					1		
Zotu8494					1		1	
Zotu7076								
Zotu19108				1				
Zotu7659					1	1		
Zotu11122		2						
Zotu3998								
Zotu17230								
Zotu6241		2	2	1		1	1	
Zotu564	2	6	10	25	13	19	7	10
Zotu9774				1			1	
Zotu5969		1						1
Zotu10850					1			
Zotu13175		1						1
Zotu629	7	12	7	10	7	16	2	4
Zotu953	13	8	2	11	4	8	2	3
Zotu7595		1						1
Zotu3597	3	3	1	1			2	5
Zotu2520	2	3	1	1		1		
Zotu10341		2						
Zotu6514		1		2				
Zotu8183	1		1	2				2
Zotu20841			1	1				
Zotu10985								
Zotu362	43	67	20	29	8	17	40	23
Zotu890	10	17		3	8	3	27	10
Zotu548	31	24	15	13	7	9	31	15
Zotu3134		1	1	4		5	3	1
Zotu4812	2	2			1	1		1
Zotu13892				2	4	2		2
Zotu830	14	5	4	6	4	6	8	4
Zotu274	41	27	10	13	15	32	35	22
Zotu1640	5	4	2	4	2	5	1	2
Zotu4310	3	1	2	1	1	4	2	
Zotu2208	4	3		1	2		5	2
Zotu432	19	22	31	20	33	27	31	21
Zotu2687	3	10	7	7	3	4	10	2
Zotu823	13	13	15	10	10	7	14	9
Zotu4594	4	2	2		5	2	6	
Zotu20763		1						
Zotu11178								
Zotu15780							2	
Zotu2238	3	2	4	4	3	5	5	7
Zotu8708	1		1	2	1			
Zotu8038		3	1					1
Zotu11843			2		2			1
Zotu2499		2		1	1	1		1
Zotu14075								1
Zotu17787								1
Zotu1052	8	3	4	28	3	2	3	8
Zotu7129			2	2		2		2
Zotu17398			1	2		2		1
Zotu137	18	31	24	12	24	27	33	15
Zotu1776						2		1
Zotu5123	1				1			
Zotu5162		4	3	5			1	
Zotu8550								
Zotu8557						1		
Zotu1294	7	5	6	8	8	6	3	8
Zotu17852								
Zotu6819		2	3	2		1	5	2
Zotu7733	2	1		1			1	
Zotu11615								
Zotu16870								
Zotu2132	1	1		4	2	3	1	3
Zotu6301	1	2				1	1	
Zotu6161	2			1				
Zotu12637						1	1	
Zotu16071								
Zotu16579								
Zotu10184	1			1	6		3	1
Zotu17269								
Zotu15410				2				
Zotu20527								
Zotu15902								
Zotu18663		1		1	1			
Zotu2424	8	1	2		5	2	2	
Zotu18676			1					
Zotu19506								
Zotu14448				1			1	1
Zotu17597		1				1	1	
Zotu12437								
Zotu14585								
Zotu20266								
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656								
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670						2		
Zotu20004								
Zotu15082			1					1
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297				1				
Zotu2697								
Zotu17928								
Zotu13228								
Zotu13491								1
Zotu17802								
Zotu6886	1	1	1	1	4	3	1	2
Zotu16005					1			
Zotu1727								
Zotu10640	4							
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920						1		
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982				1				
Zotu993		12	4			1	3	3
Zotu9173								
Zotu20134								
Zotu16018		1						
Zotu5583	3	1		4	2	1	1	3
Zotu8841			1	1	1	2	2	
Zotu17732								
Zotu3011	6	1	3	3	3	2	7	1
Zotu5765		1	1				3	2
Zotu6240	1	1		1			1	2
Zotu7961							3	
Zotu11511	1			1			1	
Zotu19491								
Zotu8463		2		1	1		2	
Zotu7658	2			1				
Zotu12921								2
Zotu13277		1			1			
Zotu14952								
Zotu15982					2			
Zotu9990							2	
Zotu13620			1		1		2	
Zotu11813			4					1
Zotu19700								
Zotu7385		2	3	1	1			1
Zotu3085	5	4	5	3	3	7	2	1
Zotu14032		1					1	
Zotu13198					1			1
Zotu17583							1	
Zotu13975				1		2	4	
Zotu12317	1					2		
Zotu7882	1		1				1	2
Zotu3657	5	7	5	1	3	1	4	2
Zotu9423	1			1		4		1
Zotu9734	1			2			1	1
Zotu16172	1		1		1		1	
Zotu481	13	12	32	15	28	35	14	24
Zotu1375	8	7	8	2	6	2	9	6
Zotu9414			4	1	1			
Zotu7416	1	1	4	3	1	1	2	1
Zotu1322	6	10	10	7	3	8	6	5
Zotu1144	12	20	11	11	14	6	18	11
Zotu869	18	9	14	15	9	13	14	9
Zotu5561	1	1	5	3	1	1	6	
Zotu1614	1	2		1	1	1	8	1
Zotu11137			1					1
Zotu2792	2	1		2		3	5	4
Zotu3593	3	3	5	7	3	1	5	3
Zotu6691		1	2		1			
Zotu59	135	117	148	143	152	98	137	140
Zotu7465	1					3		1
Zotu1846	6	2	4	2	6	3	6	11
Zotu1939								1
Zotu4102	2	2		3	2	1		4
Zotu7965	3		1	1		3	2	
Zotu3417	10	5	1	1		3	2	
Zotu10803	3					1		
Zotu6000			2		5		1	
Zotu7098						2		
Zotu5193			1			1	1	
Zotu1153	15	5	25	3	11	11	10	6
Zotu15740		2	2	1		1		
Zotu14576	1						1	
Zotu10479		2					6	3
Zotu19206								2
Zotu2281	3	2	6	3	1	1	1	6
Zotu7239				1		1	2	
Zotu4263		1	1	6		2		
Zotu7235				5		1		
Zotu15967	1		1	1				
Zotu13217	2				1			
Zotu12741								
Zotu4500	1	1	2	1	3	2	1	
Zotu8736								
Zotu3930	1	3	3	3		3	1	1
Zotu9368			1	1			1	
Zotu7376			1	6				
Zotu2787	4	1	4	7	4	2		
Zotu18567							1	
Zotu7186	1		1	3		3	2	2
Zotu18336			2					
Zotu8370	1		1		1			1
Zotu12448		1						1
Zotu17050					1	1		
Zotu13482	1			6	2		1	
Zotu18313				3				
Zotu12621			3	1		1		
Zotu4772	2		2	5				3
Zotu13569				4				
Zotu13576		1	1	2	1	2		
Zotu19888								
Zotu10166		1						6
Zotu15916			1	2		3		1
Zotu2024	4	7	13	3	4	6	6	4
Zotu5580		2	1		3		5	
Zotu10566			4	2	1			
Zotu11303		1			1			1
Zotu12951	1				1			
Zotu7920		1	2	1				2
Zotu5621				8	4	4		3
Zotu16352								
Zotu13486								
Zotu18954		1						
Zotu7757			1	2		1		1
Zotu11205					1			
Zotu10466	1				3	1	1	1
Zotu14137		1		1	4			1
Zotu17618				2				
Zotu4909	4	1	2		1	4		1
Zotu2512	2	1	2	13	5	3	3	9
Zotu7788			1		1	1	1	
Zotu9712								
Zotu9342				1			1	
Zotu10526		1	1	1		1	1	
Zotu5448				2		2	2	1
Zotu12326				4				
Zotu8717	1						3	1
Zotu4639	1			3			3	
Zotu5642	1			3				
Zotu14306			1	1	1	2	1	
Zotu14557								
Zotu10175		6					1	
Zotu20618	4			1		1	2	
Zotu8553								
Zotu7017								
Zotu17978							1	
Zotu8020	1							
Zotu3009							1	
Zotu19790								
Zotu12655		1				2	1	5
Zotu10978								
Zotu9691								
Zotu19148			1					
Zotu4750								
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517								
Zotu18523								
Zotu1552					1	6		
Zotu180								
Zotu7189			2					
Zotu6172								
Zotu11926							33	
Zotu15990								
Zotu12564								
Zotu20140						1		1
Zotu8417		1		1		1		1
Zotu14768								
Zotu11529								
Zotu17015								
Zotu18318								
Zotu13340								
Zotu20417		1						2
Zotu9970			3					
Zotu15748		1						
Zotu6149	1	2	3	1	1	1	3	3
Zotu15438				1			1	
Zotu17956								
Zotu20790							1	
Zotu7626	1		2			1	2	
Zotu17845								
Zotu18290								
Zotu9121								
Zotu17219								
Zotu17069								
Zotu7130	1				4		2	
Zotu20833			1			2		
Zotu3496								
Zotu9385								
Zotu19126								
Zotu6270								1
Zotu16680								
Zotu4601								
Zotu358								
Zotu5864								
Zotu5771								
Zotu11633			1			1	1	
Zotu105	1					1	1	
Zotu5517								
Zotu2710								
Zotu6738	1		1		3			
Zotu17274			1	1				1
Zotu17758								
Zotu20596								
Zotu3727		2	1	2	1			
Zotu13299					1			
Zotu16314								
Zotu19628								
Zotu20365								
Zotu1371	1					12		2
Zotu1523					1			
Zotu835		1	2	4	1	9	2	1
Zotu2736			1					
Zotu4165								
Zotu2052		1						
Zotu15836						1		
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204								
Zotu328								
Zotu4371								
Zotu6098								
Zotu35			1	1	1	75	1	4
Zotu337	1					28	1	3
Zotu7429								
Zotu13596								
Zotu20441	1							
Zotu444	2					2		
Zotu880	1				1			
Zotu315		3	1	1		3		
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982	3	2	6	2		5		4
Zotu1233	5	8	9	9	4	10	11	10
Zotu9405					2			
Zotu425	16	23	35	19	25	30	29	23
Zotu4874	2	1	3	1				1
Zotu15459					1			
Zotu18548					1			
Zotu10137	5					2	2	
Zotu11520						1	1	
Zotu17326					2			
Zotu5688		1	2		1	3		2
Zotu17127								
Zotu9958						1		
Zotu18705		2						
Zotu12818			2				2	
Zotu4875						2		1
Zotu11762								
Zotu13239								
Zotu3508								
Zotu7316			1					
Zotu13139								
Zotu2013	1	3	7	9	2	5	9	3
Zotu8412		2				1		
Zotu13426	1							
Zotu5118								
Zotu17863								
Zotu9929								
Zotu1484		1					1	
Zotu14424								
Zotu747	2	10	2		6	2	2	
Zotu1722	1	2		2	2	3		
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947	9	40	1	1		2		1
Zotu3816		1			1	2	8	
Zotu3615	1	2			1	1	1	
Zotu4625		1	2					
Zotu3183				1				
Zotu20260		1		2	12		1	
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								
Zotu2196			1					
