ID	rs_ck_1	rs_ck_2	rs_ck_3	rs_ck_4	rs_ck_5	rs_ck_6	rs_ck_7	rs_ck_8
Zotu3816	2	1	5				3	1
Zotu3615	16		1			1	2	2
Zotu4625	19				6			
Zotu3183	4							
Zotu20260								
Zotu18419								
Zotu17243								
Zotu507	5							
Zotu8328								
Zotu2196	73				1		1	
Zotu3421		3	1	8		1	4	
Zotu4457								
Zotu4792	3				5		1	
Zotu7296							58	
Zotu9478					2		8	
Zotu179	229	163	78	30	31	48	965	26
Zotu297	21	1	6	1	4	19	1	20
Zotu424	37	25	12	14	11	28	147	25
Zotu1011	81	40	48	12	15	29	254	35
Zotu2378	7		4		1	12	3	10
Zotu5975					2		1	1
Zotu11408				1				
Zotu17503	2		1					
Zotu19527			1		2			
Zotu1250	13	11	16	15	12	9	17	10
Zotu675	24	13	20	53	43	56	21	25
Zotu3210	3	4	11	11	9	10	7	17
Zotu7988			1					
Zotu11292	1	1				1		
Zotu540	17	10	35	13	28	31	22	28
Zotu790	16	19	44	26	27	29	33	52
Zotu2755	8	5	10	1	12	2	7	15
Zotu4216	7	4	7	13	2	6	6	7
Zotu400	74	35	53	68	103	84	67	67
Zotu24	827	780	923	840	1271	1035	724	1085
Zotu1892	4	2			10	1	2	
Zotu18820						1		
Zotu7145	2	2	1		1			
Zotu19813					1			
Zotu10688	1						1	
Zotu2693	6	5	1		6		8	
Zotu3824		2	1	4		1	14	1
Zotu4718	1			1			3	
Zotu17677	3	1	1	1	1		8	3
Zotu8654	2	3		1	5	1	5	3
Zotu16245			1	1	4	1	5	
Zotu12366	1		2	3		2	5	1
Zotu2653	2	1	7		3	1	1	2
Zotu3778	2	2	5	3	3	5	3	7
Zotu3348	2	3	2	6	6	3		
Zotu2535	18	6	9	12	4	9	10	5
Zotu3811	3	1	2	1			3	4
Zotu15688								
Zotu14444		1	1					
