ID	hps_cd_1	hps_cd_2	hps_cd_3	hps_cd_4	hps_cd_5	hps_cd_6	hps_cd_7	hps_cd_8
Zotu6819	1		2	2			2	3
Zotu7733		2						
Zotu11615				10				
Zotu16870							1	
Zotu2132	4	3	7	2	3	1	3	9
Zotu6301			2	2		1		
Zotu6161	2		4	2		2		2
Zotu12637			1					1
Zotu16071								
Zotu16579								
Zotu10184								1
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902								1
Zotu18663								
Zotu2424	6			2	3	2		10
Zotu18676							1	
Zotu19506								
Zotu14448	1					2		
Zotu17597	1					1		
Zotu12437								
Zotu14585							1	
Zotu20266								
Zotu16711		2		3				
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656					1			
Zotu18844								
Zotu20369								
Zotu12074								
Zotu18670								1
Zotu20004								
Zotu15082					1			
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297		2					1	
Zotu2697				1	1			1
Zotu17928								
Zotu13228				1				
Zotu13491							13	
Zotu17802								1
Zotu6886								
Zotu16005								
Zotu1727					1			
Zotu10640						3		
Zotu7229			1					
Zotu1750				2				
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300		1						
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982								
Zotu993	3	2				1	6	
Zotu9173								
Zotu20134								
Zotu16018				3			2	
Zotu5583	1	1			3			2
Zotu8841						3		
Zotu17732								
Zotu3011	4	2	12	2	3	4	4	2
Zotu5765	1		3	3		3		2
Zotu6240		1	1	1	1	1		3
Zotu7961		1		2			2	
Zotu11511								1
Zotu19491								
Zotu8463		1						
Zotu7658								
Zotu12921			1					4
Zotu13277							2	
Zotu14952								
Zotu15982								
Zotu9990	2				1	3		
Zotu13620								
Zotu11813			1					
Zotu19700			1					
Zotu7385			3	3	1	3	2	2
Zotu3085	2	2	1	8	2	1	2	7
Zotu14032					2			
Zotu13198								
Zotu17583								
Zotu13975								
Zotu12317			2			1		
Zotu7882		2	2	1	1			
Zotu3657	1	3	3	1	7	3	2	2
Zotu9423			2	1	1			
Zotu9734	1							1
Zotu16172					2			1
Zotu481	44	18	25	23	61	34	37	30
Zotu1375	5	15	22	6	18	15	5	9
Zotu9414		1		1	1			1
Zotu7416	4		1		1	2	3	1
Zotu1322	20	8	18	10	32	11	9	9
Zotu1144	10	13	11	7	11	12	13	9
Zotu869	13	21	15	11	10	14	6	18
Zotu5561	2	3	1	1		3	3	2
Zotu1614	1	1	7	1	8		1	1
Zotu11137								
Zotu2792	1	3	1		1	2	2	1
Zotu3593	5	5	3	3	1	5	1	
Zotu6691		10		1				1
Zotu59	99	137	218	102	114	117	103	115
Zotu7465	3		1			1	2	
Zotu1846	10	5	12	4	9	5		5
Zotu1939			13					
Zotu4102		1	6	3	1	1		2
Zotu7965	2		4		3			
Zotu3417	1	1	1	1			3	2
Zotu10803						3		
Zotu6000	1	2	6		2	1	1	4
Zotu7098		2						
Zotu5193	3		4		5	2	2	2
Zotu1153	23	7	11	6	12	10	5	20
Zotu15740					3			
Zotu14576		1					1	3
Zotu10479	2				1		1	
Zotu19206					1	3		
Zotu2281	2	3	12	4	8	9	1	3
Zotu7239	1		4	1	2			
Zotu4263	10	4	3		1	2	3	1
Zotu7235		2	1			1	1	2
Zotu15967								
Zotu13217	1	1			2	3		
Zotu12741					1			
Zotu4500		2	1		2	4	6	1
Zotu8736								
Zotu3930	2	2	2	1	6	1	1	3
Zotu9368					1	1		
Zotu7376	1	2	2		3	2	2	
Zotu2787	1		4	3	1	4		
Zotu18567								
Zotu7186	1	1	2	1	1		5	
Zotu18336								
Zotu8370		1			2		4	
Zotu12448	1							
Zotu17050	1		1					
Zotu13482					2			
Zotu18313				2				
Zotu12621			1		1	1		
Zotu4772		3	1	1			1	4
Zotu13569								
Zotu13576							1	
Zotu19888	4							
Zotu10166								1
Zotu15916	1						1	
Zotu2024	3		3	3	3	2	4	
Zotu5580	1			1		1		1
Zotu10566			1					
Zotu11303								
Zotu12951								
Zotu7920		2		1	1	1		1
Zotu5621	1	1	2		2		1	
Zotu16352					1	1		2
Zotu13486	1			1	1			
Zotu18954		1						2
Zotu7757		1	1		1	2		2
Zotu11205		1				1		
Zotu10466			1					
Zotu14137		1				1		1
Zotu17618								
Zotu4909	1	1	3	4	2	3	1	
Zotu2512		4	4	2	3	7	9	7
Zotu7788	1			1				
Zotu9712						1		
Zotu9342							1	
Zotu10526						1		
Zotu5448				3				1
Zotu12326				1				
Zotu8717	1				1			
Zotu4639								
Zotu5642		1						
Zotu14306			1					
Zotu14557								
Zotu10175				1		1	1	
Zotu20618								
Zotu8553				1				
Zotu7017					1		1	
Zotu17978				3				
Zotu8020				5			1	
Zotu3009				7			1	1
Zotu19790	1			8				
Zotu12655	1	1		1	1	2		
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750		1		1	1		2	
Zotu18585		1						
Zotu15951								
Zotu16422								
Zotu2517		1		2			2	
Zotu18523								
Zotu1552								
Zotu180		1	4	2	1		1	6
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564		3						
Zotu20140					1			
Zotu8417	1						1	
Zotu14768								
Zotu11529								
Zotu17015								1
Zotu18318					1	1		
Zotu13340								
Zotu20417								3
Zotu9970								
Zotu15748								
Zotu6149		1						1
Zotu15438								
Zotu17956								
Zotu20790						1		
Zotu7626	1		2	2				
Zotu17845								
Zotu18290								
Zotu9121					2			1
Zotu17219	1						1	
Zotu17069								
Zotu7130		2						
Zotu20833								
Zotu3496								
Zotu9385		2	2	2	4	12	2	8
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601				4				
Zotu358	1						1	1
Zotu5864								
Zotu5771								
Zotu11633								
Zotu105	2		2	2	2	1	3	1
Zotu5517			2					
Zotu2710		1					1	
Zotu6738								1
Zotu17274		3						
Zotu17758				2				
Zotu20596								
Zotu3727	1	4		1			2	1
Zotu13299						1		
Zotu16314								
Zotu19628								
Zotu20365		1		2			1	
Zotu1371	1	2			1		1	
Zotu1523							2	
Zotu835					2		1	2
Zotu2736							2	
Zotu4165		1						1
Zotu2052	1				3		2	
Zotu15836							2	
Zotu1073					1			
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204	1	1	2			4	1	
Zotu328	2		1		1		5	
Zotu4371								
Zotu6098								
Zotu35	10	1	1	1	1	1	3	
Zotu337								
Zotu7429								
Zotu13596					1			
Zotu20441					3		1	
Zotu444				1			1	
Zotu880		1						
Zotu315	4	1	2	1		2	5	2
Zotu5443						1		
Zotu8703	1							
Zotu20470								
Zotu982		1	1	3	3			
Zotu1233	5	3	3	5	1	7	6	7
Zotu9405								
Zotu425	9	18	10	8	22	13	9	26
Zotu4874				2	2	1		2
Zotu15459	1					1	1	1
Zotu18548					1	1	1	
Zotu10137	1		1					
Zotu11520							1	2
Zotu17326								
Zotu5688		1			1	1		3
Zotu17127		1						
Zotu9958	1							1
Zotu18705		3						
Zotu12818								
Zotu4875	1	2						3
Zotu11762								
Zotu13239	1	1			1			
Zotu3508		1		1	1		1	1
Zotu7316				2				1
Zotu13139								
Zotu2013	1	1		2				8
Zotu8412								1
Zotu13426						1		1
Zotu5118								
Zotu17863								
Zotu9929								
Zotu1484								
Zotu14424								
Zotu747	1	2		13			18	3
Zotu1722			1	3			4	
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947		1			1		26	2
Zotu3816		2		10			1	
Zotu3615		3		2			1	
Zotu4625		4						
Zotu3183								
Zotu20260								
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328				1				1
Zotu2196	1							
Zotu3421	1	1		2				2
Zotu4457	5							
Zotu4792								
Zotu7296								
Zotu9478								
Zotu179	4	5	1		1	3	4	
Zotu297			1				1	
Zotu424	3	1	1			1	5	
Zotu1011	5	1	2		2		2	1
Zotu2378								
Zotu5975		1					1	
Zotu11408				1	1	1		
Zotu17503							1	
Zotu19527								
Zotu1250	4	3	3		1	8	5	1
Zotu675	20	1	5	7	10	6	7	14
Zotu3210	4	4	3	3	6	2	6	3
Zotu7988	1	1				18	1	
Zotu11292		1						1
