ID	hp_f_1	hp_f_2	hp_f_3	hp_f_4	hp_f_5	hp_f_6	hp_f_7	hp_f_8
Zotu2024	1	4	7	2	1	6	3	1
Zotu5580	8	7	5	2				4
Zotu10566			6	3				
Zotu11303								
Zotu12951	2		1			1		
Zotu7920								
Zotu5621			1					
Zotu16352								
Zotu13486								
Zotu18954								
Zotu7757	2	2						
Zotu11205								
Zotu10466								
Zotu14137								
Zotu17618								
Zotu4909		1		3				
Zotu2512	4	3	2	1	2	1	1	
Zotu7788			4		5	2		
Zotu9712	3		1				1	
Zotu9342								
Zotu10526								
Zotu5448		1			1			
Zotu12326								
Zotu8717								
Zotu4639								
Zotu5642	1				1			
Zotu14306		3						1
Zotu14557								
Zotu10175								
Zotu20618								
Zotu8553								
Zotu7017								
Zotu17978								
Zotu8020	3							
Zotu3009								
Zotu19790		1						
Zotu12655			2		1			
Zotu10978							1	
Zotu9691								
Zotu19148		2						
Zotu4750							1	
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517	2							
Zotu18523								
Zotu1552								1
Zotu180					1		2	
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564				1				
Zotu20140		2	2				5	
Zotu8417								
Zotu14768								
Zotu11529								
Zotu17015	2	3		2	2			
Zotu18318								
Zotu13340							1	
Zotu20417	1				3	1		
Zotu9970								
Zotu15748								
Zotu6149	2	1			2	2	1	
Zotu15438					2	2		
Zotu17956					2			
Zotu20790								
Zotu7626	3		2		3		1	
Zotu17845								
Zotu18290								
Zotu9121								2
Zotu17219								
Zotu17069								
Zotu7130		2			1	1		1
Zotu20833		2						
Zotu3496								
Zotu9385								
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601								
Zotu358							3	
Zotu5864								
Zotu5771								
Zotu11633								
Zotu105	1	1					2	
Zotu5517								
Zotu2710								
Zotu6738				3				
Zotu17274								
Zotu17758					1		1	
Zotu20596								
Zotu3727								
Zotu13299						1		
Zotu16314								
Zotu19628	2							
Zotu20365								
Zotu1371	2							
Zotu1523							2	
Zotu835		1	1	4	2	3	1	1
Zotu2736								
Zotu4165		1					2	
Zotu2052								
Zotu15836								
Zotu1073			1					
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204			1					
Zotu328								
Zotu4371								
Zotu6098								
Zotu35		1		3		2		
Zotu337								
Zotu7429								
Zotu13596							1	
Zotu20441			1					
Zotu444	1	1	3	5	1	1		
Zotu880						5		
Zotu315	3				2	4		
Zotu5443		1						
Zotu8703								
Zotu20470								
Zotu982	2	2	3	1	2	6	2	
Zotu1233		5	5	2	9	5	7	
Zotu9405								
Zotu425	15	10	14	10	15	23	15	
Zotu4874		1	2			1		
Zotu15459			3					
Zotu18548			1		2			
Zotu10137								
Zotu11520				1			1	
Zotu17326								
Zotu5688	3		1	1	2	2		
Zotu17127								
Zotu9958			1					
Zotu18705				1				
Zotu12818								
Zotu4875							1	
Zotu11762								
Zotu13239		1						
Zotu3508					1			
Zotu7316		2				4	3	
Zotu13139								
Zotu2013	5	9	11	8	1	11	5	
Zotu8412		1	2		3	1		
Zotu13426			1		1			
Zotu5118								
Zotu17863								
Zotu9929							1	
Zotu1484	3			1			1	
Zotu14424								
Zotu747			2		2	1	1	
Zotu1722						1		
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947								
Zotu3816	5	2	1					
Zotu3615	1							1
Zotu4625						2		
Zotu3183								
Zotu20260								
Zotu18419								
Zotu17243								
Zotu507								
Zotu8328								
Zotu2196								
Zotu3421		1	3		4		3	
Zotu4457	1		1			1	2	
Zotu4792								
Zotu7296								
Zotu9478								
Zotu179								
Zotu297		1	1					
Zotu424								
Zotu1011	2	1		3		6	1	
Zotu2378								
Zotu5975		1		1	1			
Zotu11408								
Zotu17503								
Zotu19527					2	1		
Zotu1250	3	8	1	7		1	1	
Zotu675	4	4	1	7	9	5	14	1
Zotu3210		2	6	4	4	4	5	
Zotu7988					10			
Zotu11292						3	1	
Zotu540	8	8	10	16	9	27	6	
Zotu790	11	5	4	13	12	18	7	
Zotu2755		3		7	2	3	2	
Zotu4216		3	1	2	1	1	2	
Zotu400	10	7	4	2	10	9	9	4
Zotu24	93	68	74	130	127	109	108	30
Zotu1892		1						
Zotu18820								
Zotu7145								
Zotu19813	1							
Zotu10688								
Zotu2693					2			
Zotu3824								
Zotu4718								
Zotu17677								
Zotu8654								
Zotu16245				3				
Zotu12366	3			1	1	2		
