ID	rs_f_1	rs_f_2	rs_f_3	rs_f_4	rs_f_5	rs_f_6	rs_f_7	rs_f_8
Zotu18399								
Zotu18910								
Zotu18510	1							
Zotu4039								
Zotu10761			1					1
Zotu16211								
Zotu10434								
Zotu9318					3			
Zotu10549				1				
Zotu6667	1		1					
Zotu10219								
Zotu11391								
Zotu6703			3	1		1		1
Zotu3193								
Zotu9390								
Zotu11797			1				2	
Zotu1400	5	6	1	2	4	1	1	1
Zotu13456		1						
Zotu1340				1	2			
Zotu5793					2			
Zotu14282			1			1		
Zotu7233		1				1		
Zotu9697								
Zotu13251								
Zotu7473			1					
Zotu14049								
Zotu19484								
Zotu886	2	3	4	5	5	7	7	2
Zotu602	8	2	4	9	3	7	11	11
Zotu477	7	12	7	6	6	5	7	19
Zotu19793								
Zotu18673						1		
Zotu19261								
Zotu6815		3			1		1	
Zotu18915								
Zotu6483						1		
Zotu7463	3	2	2			1	2	1
Zotu7041							1	1
Zotu4926		2		2	1		1	
Zotu19467								
Zotu11779								1
Zotu16269					1			
Zotu19331								
Zotu15482		1					2	
Zotu20018								
Zotu17942								
Zotu4198	2							2
Zotu8387								
Zotu2597	2	1				1		
Zotu17194								
Zotu14835								
Zotu20732								
Zotu19529								
Zotu6353								
Zotu9384								
Zotu17358								
Zotu2202	1		1			1		1
Zotu18975			2		2			
Zotu15606								1
Zotu18299					1			
Zotu14428								1
Zotu7187							4	
Zotu20791	1							
Zotu5379								
Zotu13578								
Zotu1351			2		2		1	
Zotu1893	2			1	1	3	1	1
Zotu20700								
Zotu9290								2
Zotu6421						2		
Zotu16176	1						1	
Zotu13880					1		2	2
Zotu9811	1	1	1				1	1
Zotu18383			1					
Zotu6796								
Zotu11544								
Zotu19264	1							
Zotu15838								
Zotu10993								
Zotu19945								
Zotu13952								
Zotu10007								
Zotu20474								
Zotu16519								
Zotu5191	3	1		3		1		1
Zotu9928								
Zotu1508	1	5	2	1		1		
Zotu17362								
Zotu5795								
Zotu9014								
Zotu11305								
Zotu6101			1			1		
Zotu17446			1					1
Zotu8494	4					1	1	
Zotu7076								
Zotu19108								
Zotu7659								
Zotu11122	1	3				3	1	
Zotu3998								
Zotu17230		1						
Zotu6241								
Zotu564	22	24	19	9	20	21	26	12
Zotu9774		1	1				1	
Zotu5969								
Zotu10850	3							
Zotu13175			1		1			
Zotu629	18	28	12	11	9	10	6	7
Zotu953	5	11	10	7	13	7	11	9
Zotu7595					1	2		
Zotu3597		1	3		5	3		2
Zotu2520	2	1	7				5	6
Zotu10341		3						
Zotu6514		1	2					2
Zotu8183		1	1	1				
Zotu20841	1		1					
Zotu10985	1	2				1	1	2
Zotu362	31	10	28	25	22	16	8	18
Zotu890	4	1	5	4	3	6	3	3
Zotu548	8	5	22	9	7	20	5	12
Zotu3134	1		4	1	1	1	2	3
Zotu4812		1	1		1			1
Zotu13892								
Zotu830	10	7	5	3	9	11	3	8
Zotu274	22	10	39	24	21	27	26	19
Zotu1640	4	2	4	3	5	3	5	1
Zotu4310	3		2	1	1	1	1	
Zotu2208	2	2	9	8	7	6		
Zotu432	13	13	21	18	23	16	12	15
Zotu2687		1	1	2	2	5	2	3
Zotu823	8	8	4	7	6	5	6	6
Zotu4594		1	1	1	2	1		2
Zotu20763								
Zotu11178							2	
Zotu15780								
Zotu2238		1		4				2
Zotu8708		1					1	
Zotu8038				1	1	2		2
Zotu11843						1		1
Zotu2499	1	1	3	3	3	1		
Zotu14075								
Zotu17787								
Zotu1052	1			2	2	1		1
Zotu7129								
Zotu17398								
Zotu137	10	8	10	6	5	10	2	17
Zotu1776		1						4
Zotu5123			1	1				
Zotu5162	4	1	2	1	4			3
Zotu8550		2			2			
Zotu8557								
Zotu1294			4	3	1		2	4
Zotu17852								
Zotu6819			1	1				
Zotu7733							1	
Zotu11615		1						
Zotu16870								
Zotu2132	2	1	3	8	3			1
Zotu6301								
Zotu6161								
Zotu12637								
Zotu16071								
Zotu16579	1	1						
Zotu10184								
Zotu17269	1				1			
Zotu15410	1							
Zotu20527								
Zotu15902	1			1		1		
Zotu18663	1							
Zotu2424	8	1	3	1	2	3	2	3
Zotu18676								
Zotu19506								
Zotu14448								1
Zotu17597								1
