ID	bs_cd_1	bs_cd_2	bs_cd_3	bs_cd_4	bs_cd_5	bs_cd_6	bs_cd_7	bs_cd_8
Zotu432	29	24	20	14	27	25	24	27
Zotu2687	3	3		2		1		
Zotu823	15	11	12	5	11	10	7	8
Zotu4594	1	2		1	6	1	3	1
Zotu20763	1		1			1		
Zotu11178								
Zotu15780	1		1				1	
Zotu2238	8	3	7	1	8		8	
Zotu8708			2					
Zotu8038		1	1			2		
Zotu11843	1			1				
Zotu2499			1					
Zotu14075	2	1						
Zotu17787								
Zotu1052	8	8	5	11	6	14	4	5
Zotu7129	6	1			1		1	4
Zotu17398								
Zotu137	27	14	41	16	17	41	12	25
Zotu1776	1		1	1		1		
Zotu5123					1			
Zotu5162	2	1		1				
Zotu8550					1			
Zotu8557	2		3	3	2		1	
Zotu1294	14	15	1	9	13	11	2	5
Zotu17852								
Zotu6819	1			2	1	1		
Zotu7733						1		
Zotu11615								
Zotu16870	1					1		
Zotu2132	4	2	2	6	3	3	3	2
Zotu6301	2	1	1		2	8		2
Zotu6161	2	1	1	1	2	2	1	
Zotu12637								
Zotu16071	1							
Zotu16579								
Zotu10184		1						
Zotu17269								
Zotu15410								
Zotu20527								
Zotu15902								
Zotu18663						1		
Zotu2424		2	9	2	5	4	3	3
Zotu18676		2	1					2
Zotu19506					1			1
Zotu14448			1				1	
Zotu17597						1		
Zotu12437								
Zotu14585						1		4
Zotu20266					1			
Zotu16711								
Zotu6727								
Zotu18473								
Zotu18256								
Zotu18712								
Zotu17656		2		1				
Zotu18844								
Zotu20369								
Zotu12074								1
Zotu18670								
Zotu20004								
Zotu15082					1			
Zotu4048								
Zotu13854								
Zotu13676								
Zotu20107								
Zotu10297				1				
Zotu2697				2				
Zotu17928								
Zotu13228								
Zotu13491								
Zotu17802						1	1	1
Zotu6886								1
Zotu16005								
Zotu1727								
Zotu10640					1			
Zotu7229								
Zotu1750								
Zotu2907								
Zotu3396								
Zotu18170								
Zotu17920								
Zotu11300								
Zotu12400								
Zotu17039								
Zotu20588								
Zotu17170								
Zotu12805								
Zotu12137								
Zotu15343								
Zotu16238								
Zotu17982	1							1
Zotu993	1	1	2	1		1	1	
Zotu9173								
Zotu20134								
Zotu16018	1						1	
Zotu5583	1					4		1
Zotu8841		1		1		1		
Zotu17732								
Zotu3011	7	8	4		2	4	3	2
Zotu5765		2	1	4		1	1	1
Zotu6240	1	1	2			2		
Zotu7961		1	1					2
Zotu11511		2	3		1	1		1
Zotu19491				1				
Zotu8463				6	1			3
Zotu7658								
Zotu12921	1					2		
Zotu13277								1
Zotu14952								
Zotu15982								
Zotu9990					2	5		
Zotu13620	1		1					
Zotu11813			1					
Zotu19700							1	
Zotu7385	1			3	3			1
Zotu3085	3	9	3	2	2	9	2	1
Zotu14032				1			1	1
Zotu13198	1					1		
Zotu17583								2
Zotu13975				1				1
Zotu12317	1				1			3
Zotu7882					2			
Zotu3657	2	5	1	2	2	4	5	3
Zotu9423								
Zotu9734					2		2	
Zotu16172								
Zotu481	38	42	43	24	53	48	25	18
Zotu1375	9	9	12	10	8	15	12	12
Zotu9414				1	1			
Zotu7416	4			2		2		4
Zotu1322	11	15	15	9	11	16	10	8
Zotu1144	11	6	18	13	14	15	13	7
Zotu869	28	28	19	27	13	16	13	10
Zotu5561	1	1		2		1		
Zotu1614	4	4	4	2	1	1	3	
Zotu11137								
Zotu2792	2	1	3		1	1	1	
Zotu3593	3	3	1	1	2	4	1	2
Zotu6691								1
Zotu59	138	90	125	132	115	126	92	87
Zotu7465		2	1		2			1
Zotu1846	14	10	7	10	1	11	11	4
Zotu1939			1	2				
Zotu4102	5	5	7	4	1	3		
Zotu7965				1	2			
Zotu3417	5	1		3			3	2
Zotu10803	1	1						
Zotu6000	3	2	8	1	1	1		
Zotu7098								
Zotu5193	3	6		1	6	3		1
Zotu1153	12	11	4	1	11	10	5	5
Zotu15740								
Zotu14576	1	1				1		
Zotu10479		4				3	3	
Zotu19206						1		
Zotu2281	4	2	3	4	12	1	4	5
Zotu7239	1	3	3		2	1		1
Zotu4263	2	2	7	1		1	1	
Zotu7235	1			1	2			
Zotu15967		1	1	2			1	
Zotu13217			1				1	
Zotu12741	4	1					2	
Zotu4500	5	16	4	1	1	6	2	1
Zotu8736		1						1
Zotu3930	1	1	3	2		2		7
Zotu9368	1			2	2		1	
Zotu7376						2	2	1
Zotu2787	2			1	3	2	3	2
Zotu18567								1
Zotu7186	1	4	3	2		1		1
Zotu18336								
Zotu8370		8	1	1				1
Zotu12448			1		3	1		
Zotu17050						1		
Zotu13482					2		1	
Zotu18313								
Zotu12621					1	1		1
Zotu4772	13			1	4	1		1
Zotu13569	3	2	1					
Zotu13576								
Zotu19888					1			
Zotu10166								
Zotu15916								1
Zotu2024	4	4	2	2	6	11	2	8
Zotu5580		1	2		1			
Zotu10566								
Zotu11303	5					1		2
Zotu12951	3	1				1		
Zotu7920	2		1		1	3		
Zotu5621	3			4	3	1	1	
Zotu16352			1	2	1		1	2
Zotu13486		1		1	3		1	
Zotu18954				1		1		
Zotu7757		1	1		4			
Zotu11205					1	1	2	
Zotu10466	1		2					1
Zotu14137	1				1			
Zotu17618				1				
Zotu4909	5				4	4	3	4
Zotu2512	5	8	2	6	4	2	3	2
Zotu7788		1	2	1			1	1
Zotu9712			1			3	1	1
Zotu9342	1	3	1	1		3		1
Zotu10526								
Zotu5448								1
Zotu12326								
Zotu8717						1		
Zotu4639								
Zotu5642								
Zotu14306								
Zotu14557						1		
Zotu10175								1
Zotu20618			1	1				2
Zotu8553								
Zotu7017								
Zotu17978								1
Zotu8020				5			1	4
Zotu3009				3	2			
Zotu19790					1			
Zotu12655								1
Zotu10978								
Zotu9691								
Zotu19148								
Zotu4750		4		2	2		2	4
Zotu18585								
Zotu15951								
Zotu16422								
Zotu2517								
Zotu18523								
Zotu1552								
Zotu180								
Zotu7189								
Zotu6172								
Zotu11926								
Zotu15990								
Zotu12564		1	2					
Zotu20140				1				
Zotu8417						1		
Zotu14768								
Zotu11529								
Zotu17015					1			
Zotu18318					1			
Zotu13340								
Zotu20417								1
Zotu9970	1		1			2		
Zotu15748			1		1			
Zotu6149	2	2	1	2		1	3	
Zotu15438			1		1		1	1
Zotu17956								
Zotu20790								
Zotu7626	2	1	1	3		2	1	3
Zotu17845								
Zotu18290								
Zotu9121		2			1			
Zotu17219				1		1		
Zotu17069								
Zotu7130								
Zotu20833								
Zotu3496								
Zotu9385								
Zotu19126								
Zotu6270								
Zotu16680								
Zotu4601								
Zotu358								
Zotu5864								
Zotu5771								
Zotu11633	1			1				1
Zotu105	2							1
Zotu5517								
Zotu2710						1		
Zotu6738		3	3			2	1	1
Zotu17274				2	1	2		
Zotu17758			2					
Zotu20596		1						
Zotu3727		4		6	3			2
Zotu13299		1	2		3			
Zotu16314								1
Zotu19628								
Zotu20365				1				
Zotu1371	1							
Zotu1523								
Zotu835				5	1	2		
Zotu2736								
Zotu4165								
Zotu2052							1	
Zotu15836								
Zotu1073								
Zotu3970								
Zotu4518								
Zotu3039								
Zotu204					1			
Zotu328								
Zotu4371								
Zotu6098								
Zotu35		1						
Zotu337								
Zotu7429								
Zotu13596								
Zotu20441								
Zotu444	2	1					1	
Zotu880								1
Zotu315						1	2	2
Zotu5443								
Zotu8703								
Zotu20470								
Zotu982	1	2	2		1			2
Zotu1233	12	6	8	3	3	1	6	4
Zotu9405								
Zotu425	6	17	14	14	17	11	14	11
Zotu4874		1		1			3	
Zotu15459	1		1	1				
Zotu18548			3					
Zotu10137								
Zotu11520				1				1
Zotu17326	1							
Zotu5688		2	1	1			1	1
Zotu17127								
Zotu9958								
Zotu18705								
Zotu12818					1			
Zotu4875								1
Zotu11762	1							
Zotu13239	1							
Zotu3508							4	
Zotu7316	2				1		1	
Zotu13139								
Zotu2013	1	1	1				2	
Zotu8412								
Zotu13426								
Zotu5118								
Zotu17863								
Zotu9929								
Zotu1484	4	1		1		1		1
Zotu14424								
Zotu747	4	4	16	29	1	1	4	15
Zotu1722		2	1	2	2	1		1
Zotu5204								
Zotu15779								
Zotu5360								
Zotu947	2		2					4
Zotu3816		1	3					1
Zotu3615		1	1		1	1		
Zotu4625			1					
Zotu3183								
Zotu20260								
Zotu18419								
Zotu17243	1	1			1			
Zotu507								
Zotu8328								
Zotu2196								1
Zotu3421	3			2				
Zotu4457		2				1		1
Zotu4792		1						
Zotu7296								
Zotu9478								
Zotu179								
Zotu297								
Zotu424						1		
Zotu1011	3		1		3	2		
Zotu2378								1
Zotu5975		1	3		1		1	1
Zotu11408				1				1
Zotu17503								
Zotu19527								
